,app,models,n_b_written,n_b_read,media_wearout_i,w_l_count,w_r_d,%write,%read,%write_appModel,N_AllSSDsApp,N_failed_SDDs,AFR_SDDs,mttf_SDDs,lithography,capacity,tech
0,DAE,A1,7841374295.0,13010488234.0,77.53728661275831,0.0,0.0,37.6051505427609,62.3948494572391,0.003008628017369546,1525,0,0,0,20nm,480GB,MLC
1,DAE,A2,1012187990.0,553247963.0,88.94270833333333,0.0,0.0,64.65853732694997,35.34146267305003,0.0003883626812076525,291,3,0.005154639175257732,1699440.0,20nm,800GB,MLC
2,DAE,A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,2,0.002976190476190476,2943360.0,20nm,480GB,MLC
3,DAE,A4,8025202.0,511120.0,97.16666666666667,0.0,0.0,94.01240955999552,5.98759044000449,3.0791601923206135e-06,13,0,0,0,16nm,240GB,MLC
4,DAE,A5,36596724.0,67787151.0,90.18181818181819,0.0,0.0,35.05974845252679,64.94025154747321,1.404166221736779e-05,15,0,0,0,16nm,480GB,MLC
5,DAE,A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,0,0,0,20nm,800GB,MLC
6,DAE,B1,1387626864198.0,0.0,0.0,0.0,491.3333333333333,100.0,0.0,0.532413439815367,3,0,0,0,21nm,480GB,MLC
7,DAE,B2,82425558161826.0,45454801345111.0,0.0,0.0,120.24255319148936,64.45521304415378,35.54478695584623,31.62555877368596,250,3,0.006,1460000.0,19nm,1920GB,MLC
8,DAE,B3,176807487801197.0,12511897333606.0,0.0,0.0,46.375523499302,93.39111664413181,6.608883355868195,67.8386136749777,2263,19,0.0041979673000441895,2086724.2105263155,24nm,1920GB,MLC
9,DAE,C1,0.0,0.0,0.0,22.8219494409334,0.0,0.0,0.0,0.0,9176,613,0.033402353966870094,262256.96574225125,V1,1920GB,3D-TLC
10,DAE,C2,0.0,0.0,0.0,231.46025738077213,0.0,0.0,0.0,0.0,2020,574,0.14207920792079207,61655.749128919866,V1,960GB,3D-TLC
11,DB,A1,39579310036.0,72634986103.0,88.22532286326172,0.0,0.0,35.271183260796874,64.72881673920313,0.0068266701669657676,16022,33,0.0010298339782798653,8506225.454545453,20nm,480GB,MLC
12,DB,A2,16106672716.0,21613756954.0,85.09893891597362,0.0,0.0,42.70013055765916,57.29986944234084,0.0027780914326042423,3706,6,0.0008094981111710739,10821520.0,20nm,800GB,MLC
13,DB,A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696,56,0.01650943396226415,530605.7142857143,20nm,480GB,MLC
14,DB,A4,15581958.0,4340379.0,98.56944444444444,0.0,0.0,78.21350477105172,21.78649522894829,2.6875882304355585e-06,78,1,0.00641025641025641,1366560.0,16nm,240GB,MLC
15,DB,A5,45026516.0,71872051.0,88.9090909090909,0.0,0.0,38.51759448856203,61.48240551143797,7.766208486707405e-06,22,0,0,0,16nm,480GB,MLC
16,DB,A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1740,56,0.016091954022988506,544371.4285714285,20nm,800GB,MLC
17,DB,B1,13301999856503.0,0.0,0.0,0.0,84.65437788018433,100.0,0.0,2.294339277232871,217,0,0,0,21nm,480GB,MLC
18,DB,B2,135495366398206.0,452062113327313.0,0.0,0.0,42.91527599486521,23.060784871890913,76.93921512810908,23.370346140733538,1588,6,0.001889168765743073,4636960.0,19nm,1920GB,MLC
19,DB,B3,430921639236334.0,1138493788941081.0,0.0,0.0,194.97682926829268,27.45746164460544,72.54253835539456,74.3256993666373,844,30,0.017772511848341232,492896.0,24nm,1920GB,MLC
20,DB,C1,0.0,0.0,0.0,147.41176470588235,0.0,0.0,0.0,0.0,868,15,0.008640552995391706,1013823.9999999999,V1,1920GB,3D-TLC
21,NAS,A1,50487934.0,28721138.0,93.8125,0.0,0.0,63.740090276527916,36.25990972347208,1.75962572208248e-05,48,0,0,0,20nm,480GB,MLC
22,NAS,A4,285128698.0,41048686.0,23.352941176470587,0.0,0.0,87.41522618870474,12.584773811295266,9.937419722991387e-05,18,0,0,0,16nm,240GB,MLC
23,NAS,B2,220766786324192.0,143718093502813.0,0.0,0.0,194.2145643693108,60.56953211035099,39.43046788964901,76.9425256730717,860,8,0.004651162790697674,1883400.0,19nm,1920GB,MLC
24,NAS,B3,66157156139452.0,31124141397161.0,0.0,0.0,40.719704952581665,68.00603796896618,31.993962031033817,23.057357356473847,1020,7,0.003431372549019608,2552914.285714286,24nm,1920GB,MLC
25,NAS,C1,0.0,0.0,0.0,50.81274358741956,0.0,0.0,0.0,0.0,12337,525,0.021277458053011268,411703.31428571424,V1,1920GB,3D-TLC
26,NAS,C2,0.0,0.0,0.0,38.11180124223603,0.0,0.0,0.0,0.0,171,1,0.0029239766081871343,2995920.0,V1,960GB,3D-TLC
27,RM,A1,81902372397.0,114009832774.0,84.46392815076561,0.0,0.0,41.80565081461481,58.194349185385185,0.0007629898388080656,53156,187,0.0017589735871773647,4980177.112299466,20nm,480GB,MLC
28,RM,A2,112259991849.0,74617255980.0,76.98778335821909,0.0,0.0,60.07151386974743,39.92848613025258,0.001045796728210533,51612,605,0.0058610400682011935,1494615.2727272727,20nm,800GB,MLC
29,RM,A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18998,672,0.017686072218128224,495305.0,20nm,480GB,MLC
30,RM,A4,6350651851.0,771556280.0,94.68477157360407,0.0,0.0,89.16689507230578,10.83310492769423,5.916169080711658e-05,6825,60,0.004395604395604396,1992900.0,16nm,240GB,MLC
31,RM,A5,4930504823.0,7325172672.0,93.61158895427795,0.0,0.0,40.23037343314165,59.76962656685835,4.5931820654818486e-05,2758,22,0.003988397389412618,2196370.909090909,16nm,480GB,MLC
32,RM,A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11007,107,0.004860543290633234,1802267.6635514018,20nm,800GB,MLC
33,RM,B1,1420682758731779.0,0.0,0.0,0.0,253.08023774145616,100.0,0.0,13.234860936969179,12574,38,0.0015110545570224273,5797275.7894736845,21nm,480GB,MLC
34,RM,B2,7392427639438893.0,2063980287917608.0,0.0,0.0,830.4946734599351,78.17373886815197,21.826261131848035,68.8667129894075,8015,123,0.0076731129132875855,1141648.780487805,19nm,1920GB,MLC
35,RM,B3,1921082997085474.0,1305133894759175.0,0.0,0.0,364.96781609195403,59.54599648714441,40.45400351285559,17.896512193544847,3582,204,0.02847571189279732,307630.5882352941,24nm,1920GB,MLC
36,RM,C1,0.0,0.0,0.0,201.91222210625196,0.0,0.0,0.0,0.0,11705,806,0.03442973088423751,254431.26550868485,V1,1920GB,3D-TLC
37,RM,C2,0.0,0.0,0.0,124.4920955264043,0.0,0.0,0.0,0.0,3749,192,0.025606828487596694,342096.25,V1,960GB,3D-TLC
38,SS,A1,11239913127.0,15328231982.0,77.67885532591416,0.0,0.0,42.30597612624625,57.69402387375375,0.0006703296069098297,5745,4,0.00034812880765883376,25163100.0,20nm,480GB,MLC
39,SS,A2,91283806448.0,122143276120.0,76.85380548383131,0.0,0.0,42.770488800977766,57.22951119902224,0.00544401343694841,16781,30,0.0008938680650735951,9800104.0,20nm,800GB,MLC
40,SS,A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2480,80,0.016129032258064516,543120.0,20nm,480GB,MLC
