,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs,MTTFTest_SSDs
2,2018-01-01,none,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
11,2018-01-02,none,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
20,2018-01-03,none,281208709983.5207,7.884491822429907,150.1804176401869,0.0,0.0,0,0,0,0,0
29,2018-01-04,none,281645907851.46277,7.886817188638019,150.48521485797525,0.0,0.0,0,0,0,0,0
38,2018-01-05,none,281901066887.76355,7.89759696150756,150.97122197063766,1.0,1.0,0.007992007992007992,1096095.0,1501.5,45670.625,3.0
47,2018-01-06,none,282684212335.8315,7.934787365963965,151.5330075133124,0.0,1.0,0.005994405221792994,1461362.6666666665,2001.8666666666663,60890.1111111111,4.0
56,2018-01-07,none,283361395250.94293,7.9585344449319875,152.0895129442738,0.0,1.0,0.004795524177434395,1826703.333333333,2502.333333333333,76112.63888888888,5.0
65,2018-01-08,none,284155788605.4417,7.922992939806391,152.5122643569401,0.0,1.0,0.003996270147861996,2192044.0,3002.7999999999997,91335.16666666666,6.0
74,2018-01-09,none,287406030001.9353,7.996621869721672,154.33729896452962,0.0,1.0,0.0034253744124531395,2557384.6666666665,3503.266666666666,106557.69444444442,7.0
83,2018-01-10,none,286513905181.0652,7.953556302030086,153.97940703957937,0.0,1.0,0.002997202610896497,2922725.333333333,4003.7333333333327,121780.2222222222,8.0
92,2018-01-11,none,286173164236.95844,8.025928108426635,154.43783146729524,0.0,1.0,0.002664180098574664,3288065.9999999995,4504.2,137002.74999999997,9.0
101,2018-01-12,none,287953160296.09924,7.823051591657519,154.9334065129894,0.0,1.0,0.0023977620887171975,3653406.666666666,5004.666666666666,152225.27777777775,10.0
110,2018-01-13,none,288024651104.14246,7.980451017718553,154.12454239273686,0.0,1.0,0.002179783717015634,4018747.333333333,5505.133333333332,167447.80555555553,11.0
119,2018-01-14,none,289166914064.9779,7.67620855849277,155.8943332846502,0.0,1.0,0.001998135073930998,4384088.0,6005.599999999999,182670.3333333333,12.0
128,2018-01-15,none,290246707351.58435,7.943902083636893,156.46619554130848,0.0,1.0,0.0018444323759363055,4749428.666666667,6506.066666666667,197892.86111111112,13.0
137,2018-01-16,none,291618917204.9606,7.873529199451382,156.7391178806035,0.0,1.0,0.0017126872062265697,5114769.333333333,7006.533333333332,213115.38888888885,14.0
146,2018-01-17,none,292758281518.2664,7.890697337962963,157.42317708333334,0.0,1.0,0.0015985080591447982,5480110.0,7507.0,228337.91666666666,15.0
155,2018-01-18,none,293254105855.77826,7.87589395362277,157.82236509427148,0.0,1.0,0.0014986013054482485,5845450.666666666,8007.466666666665,243560.4444444444,16.0
164,2018-01-19,none,294158252900.4991,7.873873224201342,158.38789932934304,0.0,1.0,0.0014104482874807043,6210791.333333333,8507.933333333332,258782.97222222222,17.0
173,2018-01-20,none,294905208094.9293,7.8833297234856685,158.81791928380622,0.0,1.0,0.001332090049287332,6576131.999999999,9008.4,274005.49999999994,18.0
182,2018-01-21,none,295700226922.01544,7.887678545664406,159.3934781040329,0.0,1.0,0.0012619800466932619,6941472.666666666,9508.866666666665,289228.02777777775,19.0
191,2018-01-22,none,294338658762.1664,7.836086676678824,158.59500822427233,0.0,1.0,0.0011988810443585988,7306813.333333332,10009.333333333332,304450.5555555555,20.0
200,2018-01-23,none,297960094339.175,7.926634768740032,160.8742206756561,0.0,1.0,0.001141791470817713,7672154.0,10509.8,319673.0833333333,21.0
209,2018-01-24,none,299271839196.4475,7.878068035022248,161.0493038610593,0.0,1.0,0.001089891858507817,8037494.666666666,11010.266666666665,334895.61111111107,22.0
218,2018-01-25,none,300160666436.5056,7.890907785119219,161.6045676529733,0.0,1.0,0.001042505255963999,8402835.333333332,11510.733333333332,350118.1388888889,23.0
227,2018-01-26,none,298890519784.8357,7.832023435267219,160.91447556444697,0.0,1.0,0.000999067536965499,8768176.0,12011.199999999999,365340.6666666666,24.0
236,2018-01-27,none,299423918267.6808,7.862541973279988,161.34821747517324,0.0,1.0,0.0009591048354868789,9133516.666666666,12511.666666666666,380563.19444444444,25.0
245,2018-01-28,none,300213375380.809,7.900686400686401,161.82611182611183,0.0,1.0,0.0009222161879681528,9498857.333333334,13012.133333333333,395785.72222222225,26.0
254,2018-01-29,none,301016965818.2309,7.910236332574032,162.15660592255125,0.0,1.0,0.0008880600328582212,9864198.0,13512.6,411008.25,27.0
263,2018-01-30,none,301735533849.679,7.890063125044329,162.5230867437407,0.0,1.0,0.0008563436031132849,10229538.666666666,14013.066666666664,426230.7777777777,28.0
272,2018-01-31,none,303785188974.5187,7.928978486963955,163.7000284940875,0.0,1.0,0.0008268145133507578,10594879.333333332,14513.533333333331,441453.3055555555,29.0
281,2018-02-01,none,304553635010.3999,7.919997155454416,164.25821362537334,0.0,1.0,0.0007992540295723991,10960220.0,15014.0,456675.8333333333,30.0
290,2018-02-02,none,305243028206.9139,8.073836961160906,164.7281974676341,0.0,1.0,0.0007734716415216766,11325560.666666666,15514.466666666665,471898.3611111111,31.0
299,2018-02-03,none,306718122653.4759,8.108768430799914,165.5299522758031,0.0,1.0,0.0007493006527241243,11690901.333333332,16014.93333333333,487120.8888888888,32.0
