,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs
0,2018-01-01,RM,0.0,0.0,0.0,0.0,0.0,0,0,0,0
6,2018-01-02,RM,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15,2018-01-03,RM,382429744252.5066,9.478075013789299,211.5464699393271,0.0,0.0,0,0,0,0
24,2018-01-04,RM,383814817486.1497,9.387337572573957,212.4885264030965,0.0,0.0,0,0,0,0
33,2018-01-05,RM,385659949343.1588,9.121417693479163,213.5872905994739,0.0,0.0,0,0,0,0
42,2018-01-06,RM,386048231596.7777,9.138026607538803,213.98032150776052,0.0,0.0,0,0,0,0
51,2018-01-07,RM,388182421309.1802,9.176470588235293,215.38589904046725,0.0,0.0,0,0,0,0
60,2018-01-08,RM,388663680899.5782,9.172432958177017,215.725719049604,0.0,0.0,0,0,0,0
69,2018-01-09,RM,389148091231.8485,9.145507406894643,216.04762564031566,0.0,0.0,0,0,0,0
78,2018-01-10,RM,389409121377.2957,8.843443415780019,216.29514992400166,0.0,0.0,0,0,0,0
87,2018-01-11,RM,390433860816.44867,9.147717842323651,217.0167358229599,0.0,0.0,0,0,0,0
96,2018-01-12,RM,392381213515.42535,9.177947295423024,218.11900138696257,0.0,0.0,0,0,0,0
105,2018-01-13,RM,393216336569.0132,9.171654197838736,218.7848434469382,0.0,0.0,0,0,0,0
114,2018-01-14,RM,394224648534.3857,9.175834834418733,219.40931134820562,0.0,0.0,0,0,0,0
123,2018-01-15,RM,395297101042.3397,9.176918814075922,220.15793848711556,0.0,0.0,0,0,0,0
132,2018-01-16,RM,396777228948.4087,9.16828120675339,221.08386382507612,0.0,0.0,0,0,0,0
141,2018-01-17,RM,397359599517.06854,9.158374792703151,221.48424543946933,0.0,0.0,0,0,0,0
150,2018-01-18,RM,399170060963.88654,9.227083333333333,222.8231698847062,0.0,0.0,0,0,0,0
159,2018-01-19,RM,399606265982.4923,9.02390493298328,223.02169407212932,0.0,0.0,0,0,0,0
168,2018-01-20,RM,401130518181.24475,9.040271242734569,224.05840022142263,0.0,0.0,0,0,0,0
177,2018-01-21,RM,401695686699.67694,9.041516745087185,224.61901466924994,0.0,0.0,0,0,0,0
186,2018-01-22,RM,402309430429.6607,9.021814165401077,224.92102719867458,0.0,0.0,0,0,0,0
195,2018-01-23,RM,426019279704.2289,9.687963237474058,240.01615772309518,0.0,0.0,0,0,0,0
204,2018-01-24,RM,433635580392.8325,9.834787842311165,244.5061691242853,0.0,0.0,0,0,0,0
213,2018-01-25,RM,434347641006.3909,9.854687971058185,245.1501356647573,0.0,0.0,0,0,0,0
222,2018-01-26,RM,434483062724.28735,9.498049219687875,245.21668667466986,0.0,0.0,0,0,0,0
231,2018-01-27,RM,434954341491.9316,9.515935057125677,245.63499699338544,0.0,0.0,0,0,0,0
240,2018-01-28,RM,438734032820.48584,9.64362916730096,247.97472979144467,0.0,0.0,0,0,0,0
249,2018-01-29,RM,438111022929.00165,9.829301277235162,247.83290758827948,0.0,0.0,0,0,0,0
