,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs
10,2018-01-02,WSM,0.0,0.0,0.0,0.0,0.0,0,0,0,0
19,2018-01-03,WSM,377494036128.38544,12.461151287243274,181.7107897020538,0.0,0.0,0,0,0,0
28,2018-01-04,WSM,378575023046.83325,12.475792507204611,182.55423631123918,0.0,0.0,0,0,0,0
37,2018-01-05,WSM,379731977821.8287,12.499769292882686,183.14724881762604,0.0,0.0,0,0,0,0
46,2018-01-06,WSM,380439828217.0122,12.400069176226436,183.53063930362597,0.0,0.0,0,0,0,0
55,2018-01-07,WSM,380522949733.45245,12.527539073764347,183.93615548762904,0.0,0.0,0,0,0,0
64,2018-01-08,WSM,382696727551.70154,12.53614839564491,184.78478022927587,0.0,0.0,0,0,0,0
73,2018-01-09,WSM,379990149939.1006,12.40701774669056,182.29868778542112,0.0,0.0,0,0,0,0
82,2018-01-10,WSM,382732409746.3746,12.472820749812259,184.18756859800126,0.0,0.0,0,0,0,0
91,2018-01-11,WSM,384493614944.74023,12.483449829588123,185.16301773438855,0.0,0.0,0,0,0,0
100,2018-01-12,WSM,385339567279.5583,12.507924571957426,185.9736811661268,0.0,0.0,0,0,0,0
109,2018-01-13,WSM,384934820709.49164,12.408138457976383,185.26481824496412,0.0,0.0,0,0,0,0
118,2018-01-14,WSM,386445452250.6356,12.44558177191765,186.1264168401573,0.0,0.0,0,0,0,0
127,2018-01-15,WSM,389843477349.2763,12.659321642824182,188.69935394554685,0.0,0.0,0,0,0,0
136,2018-01-16,WSM,387556497417.2622,12.419713095788987,186.49820684868118,0.0,0.0,0,0,0,0
145,2018-01-17,WSM,391080133681.04846,12.288749927624341,189.00144751317237,0.0,0.0,0,0,0,0
154,2018-01-18,WSM,391497276881.26917,12.539052570768343,189.0526285384171,0.0,0.0,0,0,0,0
163,2018-01-19,WSM,392399211665.58606,12.623820822964293,189.63736327333757,0.0,0.0,0,0,0,0
172,2018-01-20,WSM,393350745544.9837,12.62115429100162,190.06049040018505,0.0,0.0,0,0,0,0
181,2018-01-21,WSM,394422041355.3495,12.647839953609742,190.75355175413162,0.0,0.0,0,0,0,0
190,2018-01-22,WSM,395570442073.89734,12.737287640843014,190.9517805020432,0.0,0.0,0,0,0,0
199,2018-01-23,WSM,398881607083.45374,12.588580637734546,193.0433406239208,0.0,0.0,0,0,0,0
208,2018-01-24,WSM,399867384194.9587,12.86094964028777,193.54555395683454,0.0,0.0,0,0,0,0
217,2018-01-25,WSM,400841625542.236,12.981788842784693,194.0848317196865,0.0,0.0,0,0,0,0
226,2018-01-26,WSM,401827042521.9616,12.822538785397082,194.6229886383298,0.0,0.0,0,0,0,0
235,2018-01-27,WSM,403076539127.85657,12.871283119287284,195.21699641328243,0.0,0.0,0,0,0,0
244,2018-01-28,WSM,404782330648.0893,12.797806279380186,195.9965759387151,0.0,0.0,0,0,0,0
253,2018-01-29,WSM,405024981884.1096,12.941613832853026,196.0913544668588,0.0,0.0,0,0,0,0
262,2018-01-30,WSM,405211387213.9875,12.85320889503399,196.29596128363195,0.0,0.0,0,0,0,0
271,2018-01-31,WSM,406120229983.7548,12.959592471075807,196.5512001381454,0.0,0.0,0,0,0,0
280,2018-02-01,WSM,408720944384.09625,13.045326268501986,198.21211772159188,0.0,0.0,0,0,0,0
289,2018-02-02,WSM,408526290935.6842,13.024065717922017,197.8094411662617,0.0,0.0,0,0,0,0
298,2018-02-03,WSM,410481247599.78546,13.07908368826983,199.0621042937723,0.0,0.0,0,0,0,0
307,2018-02-04,WSM,411925165631.4228,13.125223613595706,199.84424952391944,0.0,0.0,0,0,0,0
316,2018-02-05,WSM,413765009410.8711,13.20637408568443,201.11889004992454,0.0,0.0,0,0,0,0
325,2018-02-06,WSM,413623847516.3539,13.118976250864653,200.80389670278996,0.0,0.0,0,0,0,0
334,2018-02-07,WSM,414341031873.15967,13.04591336448059,200.92362713428705,0.0,0.0,0,0,0,0
343,2018-02-08,WSM,415522339455.3339,13.163066081330868,201.8412661737523,0.0,0.0,0,0,0,0
352,2018-02-09,WSM,415217094315.0928,13.058640732002072,201.6450276243094,0.0,0.0,0,0,0,0
361,2018-02-10,WSM,416203577765.50793,13.044929617925883,201.98442976156278,0.0,0.0,0,0,0,0
370,2018-02-11,WSM,416891741799.863,13.06330786465215,202.47567070718677,0.0,0.0,0,0,0,0
379,2018-02-12,WSM,417841318445.23334,13.079438983732828,202.9637868598034,0.0,0.0,0,0,0,0
388,2018-02-13,WSM,418884489990.14386,13.13659972299169,203.06376962142198,0.0,0.0,0,0,0,0
397,2018-02-14,WSM,419957121312.02167,12.991201840138011,203.87637283652464,0.0,0.0,0,0,0,0
406,2018-02-15,WSM,420346849967.0206,12.972353144039545,204.16207828036093,0.0,0.0,0,0,0,0
415,2018-02-16,WSM,420758645345.56805,13.03531983433042,204.15853658536585,0.0,0.0,0,0,0,0
424,2018-02-17,WSM,421791835584.76855,13.04768752876208,204.608202945237,0.0,0.0,0,0,0,0
433,2018-02-18,WSM,422616087660.3138,13.085019309470287,204.78177416565796,0.0,0.0,0,0,0,0
442,2018-02-19,WSM,423204140340.0333,13.114466858789624,205.08247838616714,0.0,0.0,0,0,0,0
451,2018-02-20,WSM,424105875158.5124,13.10210538426139,205.77272204325817,0.0,0.0,0,0,0,0
460,2018-02-21,WSM,425210504727.0114,13.179694727104533,206.39902873330635,1.0,1.0,0.00040734856816978285,21504924.000000004,29458.800000000003,896038.5000000001
469,2018-02-22,WSM,425041401482.0083,13.111635401081827,206.34386328327292,0.0,1.0,0.0003992237316329359,21942583.333333336,30058.333333333336,914274.3055555556
478,2018-02-23,WSM,425718311337.70984,13.106843495234815,206.60799173269032,0.0,1.0,0.0003913958153264078,22381435.0,30659.5,932559.7916666667
487,2018-02-24,WSM,426868344171.9132,13.131858661304223,207.18356794024706,0.0,1.0,0.0003838689727239769,22820286.666666668,31260.666666666668,950845.2777777778
496,2018-02-25,WSM,427896204722.0965,13.149074393469013,207.6757502587099,0.0,1.0,0.0003766261619178641,23259138.333333332,31861.833333333332,969130.7638888889
505,2018-02-26,WSM,427753613306.62,13.202595904239978,207.3370060571099,0.0,1.0,0.0003696516033638296,23697990.0,32463.0,987416.25
514,2018-02-27,WSM,429431737650.21326,13.159609307670209,208.46061476587187,0.0,1.0,0.0003629306651208509,24136841.666666664,33064.166666666664,1005701.736111111
523,2018-02-28,WSM,428783154539.286,13.199066874027993,207.64612371846562,0.0,1.0,0.00035644976038655,24575693.333333332,33665.33333333333,1023987.2222222221
532,2018-03-01,WSM,432556964025.81287,13.227788604837786,210.2095609308724,0.0,1.0,0.0003501962558183649,25014544.999999996,34266.5,1042272.7083333333
541,2018-03-02,WSM,433789492746.80054,13.259546368073499,210.85839793281653,0.0,1.0,0.0003441583893387379,25453396.666666664,34867.666666666664,1060558.1944444445
550,2018-03-03,WSM,434442268007.0512,13.282010004024608,211.22330822744783,0.0,1.0,0.00033832519629909834,25892248.33333333,35468.83333333333,1078843.6805555553
559,2018-03-04,WSM,435625648570.0103,13.27709182794464,211.77746511227244,0.0,1.0,0.00033268644302744666,26331099.999999996,36070.0,1097129.1666666665
568,2018-03-05,WSM,436544229966.7053,13.272362155028974,212.2292156750244,0.0,1.0,0.00032723256691224263,26769951.666666664,36671.166666666664,1115414.6527777778
577,2018-03-06,WSM,436869611676.7695,13.254251846761726,212.36299604878886,0.0,1.0,0.00032195462228462574,27208803.333333336,37272.333333333336,1133700.138888889
586,2018-03-07,WSM,437710499101.7376,13.269739478957916,212.7910678499857,0.0,1.0,0.0003168442314547111,27647655.0,37873.5,1151985.625
595,2018-03-08,WSM,438572246603.44037,13.179209621993127,213.19942726231386,2.0,3.0,0.0009356806210146937,9362168.888888888,12824.888888888889,390090.37037037034
604,2018-03-09,WSM,439386295956.62836,13.319683866903384,213.6165740793769,0.0,3.0,0.0009213877122710929,9507398.333333332,13023.833333333332,396141.5972222222
613,2018-03-10,WSM,440176946836.03845,13.326059564719358,214.03871928518242,0.0,3.0,0.0009074272923881974,9653666.0,13224.2,402236.0833333334
622,2018-03-11,WSM,440991348151.212,13.260675187711355,214.35753997821976,0.0,3.0,0.0008938836014570303,9799933.666666666,13424.566666666666,408330.56944444444
631,2018-03-12,WSM,441836312147.00085,13.344235065009451,214.88842430837963,1.0,4.0,0.001174317672502373,7459651.0,10218.7,310818.7916666667
640,2018-03-13,WSM,442640416145.326,13.391995865870465,215.4387093069989,0.0,4.0,0.0011573627560665099,7568932.0,10368.4,315372.1666666666
649,2018-03-14,WSM,443671217846.2172,13.37377556281148,215.82161883485134,0.0,4.0,0.0011408290024084167,7678626.666666667,10518.666666666668,319942.7777777778
658,2018-03-15,WSM,444596380928.72925,13.384060046983327,216.30556351343608,0.0,4.0,0.0011247609882899885,7788321.333333332,10668.933333333332,324513.3888888889
667,2018-03-16,WSM,445395664793.25525,13.275257731958764,216.69971363115692,0.0,4.0,0.0011091393078970719,7898016.0,10819.2,329084.0
676,2018-03-17,WSM,446639866316.1792,13.423233656660736,217.38173678470986,0.0,4.0,0.001093945618747797,8007710.666666666,10969.466666666667,333654.6111111111
685,2018-03-18,WSM,447052028422.6189,13.452653366296786,217.58414304605301,0.0,4.0,0.0010791625698457997,8117405.333333333,11119.733333333334,338225.2222222222
694,2018-03-19,WSM,448901444513.24713,13.294303979727006,217.96423635107118,0.0,4.0,0.001064773735581189,8227100.0,11270.0,342795.8333333333
703,2018-03-20,WSM,446404213404.004,13.287228526988882,217.04948441730514,0.0,4.0,0.0010507635548498578,8336794.666666665,11420.266666666665,347366.4444444444
712,2018-03-21,WSM,447905904221.7468,13.458174685589016,218.12212991808008,0.0,4.0,0.0010371172749167425,8446489.333333334,11570.533333333333,351937.05555555556
