Nodes,Object Size,Mean,Standard Deviation,Sigma_d,Distribution,Gamma,Lambda_1,Lambda_2,Mu_1,Mu_2,Omega_1,Omega_2,Rate_H
1.0,64m,348.17,0.01096,3.8159432,Hypoexponential subnet,8324,18.110941331628045,23.911653180072292,0.055215241532125654,0.04182061325786495,,,
1.0,1m,346.22,0.00734,2.5412548000000004,Hypoexponential subnet,18561,28.98675595527541,53.61576357275398,0.034498513788260125,0.01865123115598361,,,
1.0,64k,293.09,0.10709,31.3870081,Hypoexponential subnet,87,0.15844111952703377,0.30337001499146266,6.311492893922506,3.2963046793802007,,,
1.0,8k,273.3,0.02115,5.780295,Hypoexponential subnet,2235,4.840698869323329,8.184012687849558,0.20658174098315435,0.12218944888546616,,,
2.0,64m,675.46,0.01584,10.6992864,Hypoexponential subnet,3985,3.552260744364613,5.902143009789763,0.2815108664493232,0.1694299847261106,,,
2.0,1m,665.46,0.01574,10.4743404,Hypoexponential subnet,4036,3.3774387545767275,6.067677294121529,0.29608234898261643,0.16480771002255137,,,
2.0,64k,553.12,0.09627,53.2488624,Hypoexponential subnet,107,0.14834488528470843,0.19583477661163548,6.741048052184387,5.106345345306688,,,
2.0,8k,460.77,0.02274,10.477909799999999,Hypoexponential subnet,1933,2.981145344762815,4.198207898394475,0.33544154489373335,0.23819687452411084,,,
4.0,64m,1377.7,0.01279,17.620783,Hypoexponential subnet,6113,2.2553444743645907,4.43853379330451,0.44339124748636677,0.22529962518444524,,,
4.0,1m,1384.93,0.0084,11.633412,Hypoexponential subnet,14172,5.638117077237087,10.234318847557786,0.17736417784535288,0.09771045976729853,,,
4.0,64k,1223.63,0.10998,134.5748274,Hypoexponential subnet,82,0.04325875712444525,0.06830411662795204,23.116706684920135,14.64040601603756,,,
4.0,8k,1091.77,0.02258,24.652166599999997,Hypoexponential subnet,1961,0.9904302634844186,1.7978284798633624,1.0096622012355663,0.556226587352761,,,
8.0,64m,2532.82,0.01113,28.1902866,Hypoexponential subnet,8072,1.8910526033453863,3.1876270861693117,0.5288060195845106,0.3137129824058989,,,
8.0,1m,2381.66,0.00908,21.625472799999997,Hypoexponential subnet,12129,2.6082277271090004,5.093486414270415,0.3834021046576387,0.1963291778296102,,,
