Application_Name,Num_Blocks,MTBF_Input,MTTR_Input,System_MTBF,System_MTTR
Gekko,1,121.79017438253932,1,121.7901744,1
Gekko,2,121.79017438253932,1,60.89508718,2
Gekko,4,121.79017438253932,1,30.44754360,4
Gekko,8,121.79017438253932,1,15.22377180,8
Gekko,16,121.79017438253932,1,7.611885899,16
Gekko,32,121.79017438253932,1,3.805942948,32
Gekko,64,121.79017438253932,1,1.902971474,64
Gekko,128,121.79017438253932,1,0.9514857366,128
Gekko,256,121.79017438253932,1,0.4757428683,256
Gekko,512,121.79017438253932,1,0.2378714342,512
