time (h);None;RM;WSM;Gekko
0;1.0;1.0;1.0;1.0
730;0.684798933;0.724063981;0.831505805;0.70445616
1460;0.468949579;0.524268648;0.691401904;0.49625849
2190;0.321136171;0.379604044;0.574904697;0.34959235
2920;0.219913707;0.274857615;0.478036593;0.24627249
3650;0.150596672;0.199014499;0.397490203;0.17348817
4380;0.10312844;0.14409923;0.330515411;0.12221481
5110;0.070622246;0.104337062;0.274825483;0.08609498
5840;0.048362039;0.075546709;0.228518985;0.06065014
6570;0.033118272;0.054700651;0.190014862;0.04272536
7300;0.022679358;0.039606771;0.157998461;0.03009815
8030;0.0155308;0.028677836;0.131376638;0.02120282
8760;0.010635475;0.020764588;0.109240437;0.01493646
9490;0.007283162;0.01503489;0.090834057;0.01052208
10220;0.004987502;0.010886223;0.075529046;0.00741235
10950;0.003415436;0.007882322;0.06280284;0.00522167
11680;0.002338887;0.005707305;0.052220926;0.00367844
12410;0.001601667;0.004132454;0.043422003;0.0025913
13140;0.00109682;0.002992161;0.036105648;0.00182546
13870;7.51E-04;0.002166516;0.030022056;0.00128595
14600;5.14E-04;0.001568696;0.024963514;0.0009059
15330;3.52E-04;0.001135836;0.020757307;0.00063817
16060;2.41E-04;8.22E-04;0.017259821;0.00044956
16790;1.65E-04;5.95E-04;0.014351641;0.0003167
17520;1.13E-04;4.31E-04;0.011933473;0.0002231
