node;object_size;Mean_gekko;std_gekko;delay_gekko;model
1;64MiB;348.17;3.8159432;0.00287216015165006;348.5539146767797
1;1MiB;346.22;2.5412548000000004;0.0028883368956155;346.6017707571193
1;64KiB;293.09;31.3870081;0.00341192125285748;293.4133299886683
1;8KiB;273.3;5.780295;0.00365898280278083;273.6015484050484
2;64MiB;675.46;10.6992864;0.00148047256684334;675.7649160640326
2;1MiB;665.46;10.4743404;0.00150271992306074;665.7604661264951
2;64KiB;553.12;53.2488624;0.0018079259473532;553.7288519480337
2;8KiB;460.77;10.477909799999999;0.00217028018317165;461.27759239294943
4;64MiB;1377.7;17.620783;0.000725847426870872;1377.93355834452
4;1MiB;1384.93;11.633412;0.000722058154563769;1385.1646854969501
4;64KiB;1223.63;134.5748274;0.000817240505708425;1224.1758937007498
4;8KiB;1091.77;24.652166599999997;0.000915943834324079;1092.2584576184518
8;64MiB;2532.82;28.1902866;0.000394816844465852;2533.2205933814366
8;1MiB;2381.66;21.625472799999997;0.000419875213086671;2381.579386689697
8;64KiB;2084.94;191.2515462;0.000479630109259739;2085.2789450075916
8;8KiB;1789.29;20.3263344;0.000558880896892063;1789.586087258564
16;64MiB;5402.91;35.226973199999996;0.000185085444695544;5403.003140207428
16;1MiB;5104.94;334.37357;0.000195888688211811;5105.043105281133
16;64KiB;4110.6;520.3608540000001;0.000243273488055272;4110.723602392718
16;8KiB;3262.26;99.62942040000001;0.000306535959733436;3262.385570573734
32;64MiB;9828.11;31.351670900000002;0.000101748962923695;9827.40898917302
32;1MiB;9754.03;169.4275011;0.000102521726916977;9753.341475500718
32;64KiB;7462.72;810.6752736000001;0.000133999399682689;7462.36366179493
32;8KiB;6326.25;249.38077499999997;0.000158071527366133;6326.301065976844
64;64MiB;18516.99;46.47764490000001;0.0000540044575279244;18513.746687806575
64;1MiB;17957.42;117.98024939999999;0.0000556872869265184;17954.37501902578
64;64KiB;14452.43;1107.3451866;0.0000691925164141947;14450.733020990641
64;8KiB;12932.79;375.8268774;0.00007732283598512;12931.467332944421
128;64MiB;38556.68;107.958704;0.0000259358430238288;38542.21432333191
128;1MiB;37201.38;360.4813722;0.0000268807232419873;37187.92596062858
128;64KiB;29765.81;2298.5158482;0.0000335955917208368;29757.253995000097
128;8KiB;25783.12;517.2093872;0.0000387850655777889;25776.733774611504
256;64MiB;81542.11;507.1919242;0.0000122636022050447;81475.99141149885
256;1MiB;82466.49;3170.8365405;0.0000121261375378047;82398.86123958064
256;64KiB;57886.49;7109.6187018;0.0000172751880447407;57853.21955715338
256;8KiB;48738.41;1990.9640485;0.0000205176984641066;48714.848966096004
512;64MiB;140844.69;863.3779497;0.0000071000191771518;140646.80977266165
512;1MiB;135837.48;748.4645148000001;0.00000736173845392303;135653.41596743543
512;64KiB;105108.34;8790.2104742;0.00000951399289533067;104998.40258415068
512;8KiB;97859.16;1427.7651444;0.0000102187674613189;97763.88043353963
