!Write_avg:
# nodes,64m,1m,64k,8k
1,318.61,318.48,290.39,246.84
2,635.38,639.16,589.24,467.86
4,1391.21,1374.35,1290.62,924.84
8,2528.41,2371.67,2265.03,1888.20
16,4825.79,4647.50,4460.00,3837.80
32,9335.76,8978.11,8166.83,6045.56
64,18557.67,17799.81,15358.32,11213.30
128,38732.05,37416.26,32730.87,17176.56
256,74786.43,73472.87,65202.68,32986.79
512,141109.55,137138.78,125049.02,65171.17

!Read_avg:
# nodes,64m,1m,64k,8k
1,479.24,462.01,321.31,170.48
2,927.20,894.83,628.72,298.34
4,1397.72,1525.45,1113.97,547.75
8,6043.84,7765.91,5062.01,2312.35
16,13666.98,14757.68,10059.97,4800.48
32,16096.49,16157.92,10716.32,4987.78
64,32504.91,31285.30,20249.38,9784.72
128,56034.02,57334.91,36780.39,16629.07
256,117165.62,114480.88,72287.47,34136.22
512,210791.52,214234.55,135675.64,67082.13

!Write_std_perc:
# nodes,64m,1m,64k,8k
1,0.00930,0.00484,0.06109,0.01255
2,0.00372,0.00284,0.03817,0.03377
4,0.00821,0.00921,0.04434,0.18252
8,0.02200,0.00687,0.03908,0.23264
16,0.01400,0.00701,0.04885,0.12165
32,0.00260,0.00996,0.04609,0.22253
64,0.00634,0.00351,0.04445,0.20616
128,0.00541,0.00800,0.00888,0.05585
256,0.00195,0.00592,0.04612,0.01409
512,0.01258,0.00783,0.05441,0.09271

!Read_std_perc:
# nodes,64m,1m,64k,8k
1,0.02120,0.00454,0.02655,0.00769
2,0.02346,0.02227,0.01402,0.00885
4,0.03619,0.05298,0.00643,0.00820
8,0.05610,0.03013,0.01735,0.02405
16,0.07682,0.01767,0.02138,0.01205
32,0.01217,0.01174,0.02784,0.00765
64,0.03426,0.00586,0.02372,0.01088
128,0.05029,0.01007,0.01827,0.00435
256,0.02628,0.00842,0.01929,0.00824
512,0.02603,0.00389,0.01561,0.00528

!Write_IOPS_avg:
# nodes,64m,1m,64k,8k
1,5.22,333.95,4871.94,33129.77
2,10.41,670.21,9885.87,62794.84
4,22.79,1441.11,21653.04,124130.19
8,41.43,2486.87,38000.96,253430.18
16,79.07,4873.26,74826.32,515100.53
32,152.96,9414.23,137016.60,811421.60
64,304.05,18664.45,257669.89,1505023.38
128,634.59,39233.79,549132.83,2305399.39
256,1225.30,77041.89,1093919.51,4427412.28
512,2311.94,143800.43,2097974.36,8747126.70

!Read_IOPS_avg:
# nodes,64m,1m,64k,8k
1,7.85,484.45,5390.72,22881.71
2,15.19,938.30,10548.10,40043.05
4,22.90,1599.55,18689.25,73518.30
8,99.02,8143.14,84926.37,310357.83
16,223.92,15474.54,168778.26,644309.52
32,263.72,16942.81,179789.95,669447.96
64,532.56,32805.01,339728.16,1313282.89
128,918.06,60120.01,617072.59,2231915.46
256,1919.64,120041.90,1212782.57,4581686.43
512,3453.61,224641.21,2276259.46,9003611.08
