!Write_avg:
# nodes,64m,1m,64k,8k
1,348.17,346.22,293.09,273.30
2,675.46,665.46,553.12,460.77
4,1377.70,1384.93,1223.63,1091.77
8,2532.82,2381.66,2084.94,1789.29
16,5402.91,5104.94,4110.60,3262.26
32,9828.11,9754.03,7462.72,6326.25
64,18516.99,17957.42,14452.43,12932.79
128,38556.68,37201.38,29765.81,25783.12
256,81542.11,82466.49,57886.49,48738.41
512,140844.69,135837.48,105108.34,97859.16

!Read_avg:
# nodes,64m,1m,64k,8k
1,569.14,557.92,552.62,396.57
2,1066.60,813.46,762.00,979.24
4,1500.34,1457.47,1315.22,1243.28
8,3721.42,3548.34,3108.21,3063.94
16,5959.64,5925.55,5189.76,5122.40
32,13843.14,12785.63,11448.17,10349.89
64,26957.58,25906.04,23102.06,21349.60
128,54212.43,51147.76,44001.42,41430.55
256,96054.09,87702.22,85163.36,62205.53
512,204063.61,197737.51,174822.05,168809.86

!Write_std_perc:
# nodes,64m,1m,64k,8k
1,0.01096,0.00734,0.10709,0.02115
2,0.01584,0.01574,0.09627,0.02274
4,0.01279,0.00840,0.10998,0.02258
8,0.01113,0.00908,0.09173,0.01136
16,0.00652,0.06550,0.12659,0.03054
32,0.00319,0.01737,0.10863,0.03942
64,0.00251,0.00657,0.07662,0.02906
128,0.00280,0.00969,0.07722,0.02006
256,0.00622,0.03845,0.12282,0.04085
512,0.00613,0.00551,0.08363,0.01459

!Read_std_perc:
# nodes,64m,1m,64k,8k
1,0.01263,0.04484,0.12653,0.02904
2,0.01720,0.01556,0.05554,0.04369
4,0.02325,0.01102,0.04151,0.02147
8,0.05868,0.03271,0.03794,0.01306
16,0.00340,0.04619,0.02419,0.01059
32,0.00529,0.02382,0.02695,0.02065
64,0.01971,0.00465,0.03781,0.02666
128,0.00832,0.00803,0.03890,0.01274
256,0.00633,0.03585,0.04012,0.20123
512,0.01208,0.01214,0.04963,0.03604

!Write_IOPS_avg:
# nodes,64m,1m,64k,8k
1,5.70,363.04,4917.20,36682.24
2,11.07,697.79,9279.78,61843.23
4,22.57,1452.21,20529.17,146535.43
8,41.50,2497.35,34979.42,240153.90
16,88.52,5352.92,68964.42,437853.39
32,161.02,10227.84,125203.60,849094.90
64,303.38,18829.72,242471.54,1735809.15
128,631.71,39008.48,499387.42,3460551.79
256,1335.99,86472.38,971174.08,6541558.12
512,2307.60,142435.92,1763425.39,13134434.12

!Read_IOPS_avg:
# nodes,64m,1m,64k,8k
1,9.32,585.02,9271.46,53226.19
2,17.48,852.98,12784.21,131431.10
4,24.58,1528.27,22065.66,166870.75
8,60.97,3720.70,52147.08,411235.33
16,97.64,6213.39,87069.66,687517.43
32,226.81,13406.70,192068.39,1389138.18
64,441.67,27164.46,387588.22,2865494.27
128,888.22,53632.31,738221.26,5560714.29
256,1573.75,91962.45,1428804.12,8349085.44
512,3343.38,207342.80,2933027.33,22657275.34

!SSD_Write:
1,0.479999999999961,3.60999999999996,58.03,77.54
2,21.8399999999999,34.1999999999999,149.12,240.91
4,16.8999999999999,14.3899999999999,180.85,311.59
8,256.38,416.98,724.02,1017.43
16,175.49,492.34,1507.32,2351.18
32,1328.69,1440.53,3773.12,4900.63
64,3796.61,4431.7,8019.25,9520.97
128,6070.52,7576.86,15177.55,19124.4
256,7712.28999999999,7089.98999999999,32000.23,41076.63
512,37664.11,43275.48,74665.1,81770.92

!SSD_Read:
1,3.06000000000006,8.90000000000009,4.61000000000001,154.34
2,67.8000000000002,260.18,332.46,122.58
4,768.46,689.81,873.7,960.36
8,816.18,746.22,1269.63,1343.34
16,3115.56,2663.57,3565.92,3692.16
32,4307.26,4392.61,6063.19,7279.23
64,9343.22,8450.44,11920.66,13908.64
128,18389.17,17565.2,26044.02,29085.93
256,49149.11,49723.7,54927.52,78827.43
512,86342.79,77114.33,105359.71,113256.06
