node,object_size,Mean_gekko,std_gekko,delay_gekko,model,confidence_interval
1,64MiB,318.61,2.963073,0.0031386334390006,318.961407466756,(316.01; 321.21)
1,1MiB,318.48,1.5414432,0.003139914594323,318.83126446953344,(317.13; 319.83)
1,64KiB,290.39,17.739925099999997,0.0034436447536072,290.7103587007956,(274.84; 305.94)
1,8KiB,246.84,3.097842,0.0040512072597634,247.47390037486477,(244.12; 249.56)
2,64MiB,635.38,2.3636136000000003,0.0015738613113412,635.667069072417,(633.31; 637.45)
2,1MiB,639.16,1.8152144,0.0015645534764378,639.4487535717867,(637.57; 640.75)
2,64KiB,589.24,22.4912908,0.0016971013508926,589.5064852428706,(569.53; 608.95)
2,8KiB,467.86,15.7996322,0.0021373915273799,468.37537202675657,(454.01; 481.71)
4,64MiB,1391.21,11.4218341,0.0007187987435397,1391.4456637101073,(1381.20; 1401.22)
4,1MiB,1374.35,12.657763499999998,0.0007276166915269,1374.5830357328691,(1363.26; 1385.44)
4,64KiB,1290.62,57.2260908,0.0007748214036664,1290.8399018142677,(1240.46; 1340.78)
4,8KiB,924.84,168.8017968,0.0010812681112408,925.2552639859168,(776.88; 1072.80)
8,64MiB,2528.41,55.62501999999999,0.0003955054757733,2528.8100056113326,(2479.65; 2577.17)
8,1MiB,2371.67,16.2933729,0.0004216438205989,2372.0488665774046,(2357.39; 2385.95)
8,64KiB,2265.03,88.5173724,0.0004414952561334,2265.394208005832,(2187.44; 2342.62)
8,8KiB,1888.2,439.27084800000006,0.0005296049147336,1888.5106168427365,(1503.17; 2273.23)
16,64MiB,4825.79,67.56106,0.0002072199577685,4825.900841615881,(4766.57; 4885.01)
16,1MiB,4647.5,32.578975,0.0002151694459386,4647.614973068353,(4618.94; 4676.06)
16,64KiB,4460.0,217.871,0.0002242152466367,4460.118637050063,(4269.03; 4650.97)
16,8KiB,3837.8,466.86837,0.0002605659492417,3837.925794061364,(3428.58; 4247.02)
32,64MiB,9335.76,24.272976,0.0001071150072409,9335.139923250856,(9314.48; 9357.04)
32,1MiB,8978.11,89.42197560000001,0.0001113820169278,8977.54568501705,(8899.73; 9056.49)
32,64KiB,8166.83,376.4091947,0.0001224465306612,8166.382721072461,(7836.90; 8496.76)
32,8KiB,6045.56,1345.3184668,0.0001654106484759,6045.62564700312,(4866.36; 7224.76)
64,64MiB,18557.67,117.6556278,5.38860751376e-05,18554.41202565349,(18454.54; 18660.80)
64,1MiB,17799.81,62.47733310000001,5.6180374959e-05,17796.819753243042,(17745.05; 17854.57)
64,64KiB,15358.32,682.677324,6.51112882138e-05,15356.37798991495,(14759.94; 15956.70)
64,8KiB,11213.3,2311.733928,8.91798132574e-05,11212.345367044214,(9187.01; 13239.59)
128,64MiB,38732.05,209.5403905,2.58184113673e-05,38717.4507440947,(38548.38; 38915.72)
128,1MiB,37416.26,299.33008,2.67263483843e-05,37402.6480121615,(37153.89; 37678.63)
128,64KiB,32730.87,290.6501256,3.05521973598e-05,32720.49306792685,(32476.11; 32985.63)
128,8KiB,17176.56,959.310876,5.8218875025e-05,17174.07682507228,(16335.70; 18017.42)
256,64MiB,74786.43,145.83353849999995,1.33714097597e-05,74730.83095140876,(74658.60; 74914.26)
256,1MiB,73472.87,434.9593904,1.36104660128e-05,73419.21065788071,(73091.62; 73854.12)
256,64KiB,65202.68,3007.1476016,1.53367929048e-05,65160.44261803588,(62566.85; 67838.51)
256,8KiB,32986.79,464.7838711,3.03151655556e-05,32976.24767574398,(32579.40; 33394.18)
512,64MiB,141109.55,1775.1581389999997,7.0866925732e-06,140910.92505320377,(139553.58; 142665.52)
512,1MiB,137138.78,1073.7966474,7.2918834482e-06,136951.17335585548,(136197.57; 138079.99)
512,64KiB,125049.02,6803.9171782,7.9968639498e-06,124893.02728726124,(119085.23; 131012.81)
512,8KiB,65171.17,6042.019170699999,1.53442081828e-05,65128.97352743214,(59875.20; 70467.14)
