node,object_size,Mean_gekko,std_gekko,delay_gekko,model,confidence_interval
1,64MiB,348.17,3.8159432,0.00287216015165,348.5539146767797,(344.83; 351.51)
1,1MiB,346.22,2.5412548000000004,0.0028883368956155,346.6017707571193,(343.99; 348.45)
1,64KiB,293.09,31.3870081,0.0034119212528574,293.4133299886683,(265.58; 320.60)
1,8KiB,273.3,5.780295,0.0036589828027808,273.6015484050484,(268.23; 278.37)
2,64MiB,675.46,10.6992864,0.0014804725668433,675.7649160640326,(666.08; 684.84)
2,1MiB,665.46,10.4743404,0.0015027199230607,665.7604661264951,(656.28; 674.64)
2,64KiB,553.12,53.2488624,0.0018079259473532,553.7288519480337,(506.45; 599.79)
2,8KiB,460.77,10.4779098,0.0021702801831716,461.27759239294943,(451.59; 469.95)
4,64MiB,1377.7,17.620783,0.0007258474268708,1377.93355834452,(1362.25; 1393.15)
4,1MiB,1384.93,11.633412,0.0007220581545637,1385.16468549695,(1374.73; 1395.13)
4,64KiB,1223.63,134.5748274,0.0008172405057084,1224.1758937007498,(1105.67; 1341.59)
4,8KiB,1091.77,24.6521666,0.000915943834324,1092.2584576184518,(1070.16; 1113.38)
8,64MiB,2532.82,28.1902866,0.0003948168444658,2533.2205933814366,(2508.11; 2557.53)
8,1MiB,2381.66,21.6254728,0.0004198752130866,2381.579386689697,(2362.70; 2400.62)
8,64KiB,2084.94,191.2515462,0.0004796301092597,2085.278945007592,(1917.30; 2252.58)
8,8KiB,1789.29,20.3263344,0.000558880896892,1789.586087258564,(1771.47; 1807.11)
16,64MiB,5402.91,35.2269732,0.0001850854446955,5403.003140207428,(5372.03; 5433.79)
16,1MiB,5104.94,334.37357,0.0001958886882118,5105.043105281133,(4811.85; 5398.03)
16,64KiB,4110.6,520.3608540000001,0.0002432734880552,4110.723602392718,(3654.49; 4566.71)
16,8KiB,3262.26,99.6294204,0.0003065359597334,3262.385570573734,(3174.93; 3349.59)
32,64MiB,9828.11,31.3516709,0.0001017489629236,9827.40898917302,(9800.63; 9855.59)
32,1MiB,9754.03,169.4275011,0.0001025217269169,9753.341475500718,(9605.52; 9902.54)
32,64KiB,7462.72,810.6752736000001,0.0001339993996826,7462.36366179493,(6752.14; 8173.30)
32,8KiB,6326.25,249.380775,0.0001580715273661,6326.301065976844,(6107.66; 6544.84)
64,64MiB,18516.99,46.47764490000001,5.40044575279e-05,18513.74668780657,(18476.25; 18557.73)
64,1MiB,17957.42,117.9802494,5.56872869265e-05,17954.37501902578,(17854.01; 18060.83)
64,64KiB,14452.43,1107.3451866,6.91925164141e-05,14450.73302099064,(13481.82; 15423.04)
64,8KiB,12932.79,375.8268774,7.73228359851e-05,12931.46733294442,(12603.37; 13262.21)
128,64MiB,38556.68,107.958704,2.59358430238e-05,38542.21432333191,(38462.05; 38651.31)
128,1MiB,37201.38,360.4813722,2.68807232419e-05,37187.92596062858,(36885.41; 37517.35)
128,64KiB,29765.81,2298.5158482,3.35955917208e-05,29757.253995000097,(27751.11; 31780.51)
128,8KiB,25783.12,517.2093872,3.87850655777e-05,25776.733774611504,(25329.77; 26236.47)
256,64MiB,81542.11,507.1919242,1.2263602205e-05,81475.99141149885,(81097.54; 81986.68)
256,1MiB,82466.49,3170.8365405,1.21261375378e-05,82398.86123958064,(79687.18; 85245.80)
256,64KiB,57886.49,7109.6187018,1.72751880447e-05,57853.21955715338,(51654.75; 64118.23)
256,8KiB,48738.41,1990.9640485,2.05176984641e-05,48714.848966096,(46993.29; 50483.53)
512,64MiB,140844.69,863.3779497,7.1000191771e-06,140646.80977266165,(140087.92; 141601.46)
512,1MiB,135837.48,748.4645148000001,7.3617384539e-06,135653.41596743543,(135181.43; 136493.53)
512,64KiB,105108.34,8790.2104742,9.5139928953e-06,104998.40258415068,(97403.52; 112813.16)
512,8KiB,97859.16,1427.7651444,1.02187674613e-05,97763.88043353964,(96607.69; 99110.63)
