Model,Metric,Score
Random Forest,MAE,0.00014560244950677525
Random Forest,MSE,7.292485230331116e-08
Random Forest,R-squared,0.9897254431884476
XGBoost,MAE,0.00023920358
XGBoost,MSE,1.4206353e-07
XGBoost,R-squared,0.9799843305639735
LSTM,MAE,0.0022323045
LSTM,MSE,7.392422e-06
LSTM,R-squared,-0.04153601708446786
Random Forest,MAE,0.00011973933020371604
Random Forest,MSE,7.216413183262461e-08
Random Forest,R-squared,0.987564229436966
XGBoost,MAE,0.00020012410081354787
XGBoost,MSE,1.0673894766723829e-07
XGBoost,R-squared,0.9816060828333921
LSTM,MAE,0.0023215340394126954
LSTM,MSE,1.7416604916448584e-05
LSTM,R-squared,-2.001337329607384
Random Forest,Best Parameters,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}"
XGBoost,Best Parameters,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.2, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 150, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
LSTM,Best Parameters,{'Learning Rate': 0.01}
