,0
0,278.0
1,340.0
2,1748.0
3,1948.0
4,2308.0
5,2596.0
6,2692.0
7,3292.0
8,3316.0
9,3556.0
10,3868.0
11,3969.0
12,3969.0
13,3969.0
14,3988.0
15,4156.0
16,4156.0
17,4257.0
18,4276.0
19,4636.0
20,4804.0
21,4972.0
22,4996.0
23,5001.0
24,5164.0
25,5313.0
26,5332.0
27,5332.0
28,5479.0
29,5548.0
30,5620.0
31,5762.0
32,5764.0
33,5764.0
34,5764.0
35,5956.0
36,6004.0
37,6124.0
38,6178.0
39,6364.0
40,6388.0
41,6412.0
42,6436.0
43,6460.0
44,6484.0
45,6484.0
46,6508.0
47,6508.0
48,6556.0
49,6562.0
50,6970.0
51,7012.0
52,7438.0
53,7566.0
54,7660.0
55,7836.0
56,7852.0
57,7900.0
58,7924.0
59,8194.0
60,8194.0
61,8194.0
62,8218.0
63,8218.0
64,8362.0
65,8428.0
66,8524.0
67,8620.0
68,9148.0
69,9148.0
70,9148.0
71,9148.0
72,9148.0
73,9148.0
74,9148.0
75,9148.0
76,9268.0
77,9292.0
78,9436.0
79,9436.0
80,9628.0
81,9868.0
82,9988.0
83,10210.0
84,10271.0
85,10506.0
86,10518.0
87,10732.0
88,10762.0
89,10786.0
90,10972.0
91,11140.0
92,11260.0
93,11794.0
94,11794.0
95,12004.0
96,12347.0
97,12347.0
98,12436.0
99,13042.0
100,13186.0
101,13186.0
102,13186.0
103,13474.0
104,14026.0
105,14232.0
106,15117.0
107,15902.0
108,15975.0
109,16742.0
110,17290.0
111,17386.0
112,17482.0
