,0
0,44.0
1,47.0
2,52.0
3,61.0
4,76.0
5,95.0
6,101.0
7,124.0
8,196.0
9,196.0
10,196.0
11,196.0
12,220.0
13,268.0
14,292.0
15,300.0
16,340.0
17,340.0
18,358.0
19,364.0
20,388.0
21,388.0
22,411.0
23,412.0
24,436.0
25,436.0
26,463.0
27,508.0
28,532.0
29,532.0
30,532.0
31,541.0
32,558.0
33,562.0
34,574.0
35,623.0
36,700.0
37,707.0
38,716.0
39,772.0
40,772.0
41,820.0
42,844.0
43,909.0
44,916.0
45,917.0
46,940.0
47,953.0
48,988.0
49,1012.0
50,1036.0
51,1036.0
52,1084.0
53,1084.0
54,1108.0
55,1108.0
56,1204.0
57,1228.0
58,1228.0
59,1252.0
60,1252.0
61,1252.0
62,1276.0
63,1362.0
64,1372.0
65,1396.0
66,1413.0
67,1420.0
68,1420.0
69,1468.0
70,1492.0
71,1516.0
72,1516.0
73,1516.0
74,1564.0
75,1588.0
76,1612.0
77,1626.0
78,1629.0
79,1636.0
80,1660.0
81,1660.0
82,1684.0
83,1684.0
84,1708.0
85,1708.0
86,1717.0
87,1732.0
88,1732.0
89,1732.0
90,1740.0
91,1754.0
92,1780.0
93,1780.0
94,1793.0
95,1804.0
96,1828.0
97,1828.0
98,1830.0
99,1852.0
100,1852.0
101,1876.0
102,1972.0
103,1996.0
104,2044.0
105,2068.0
106,2083.0
107,2087.0
108,2091.0
109,2092.0
110,2093.0
111,2113.0
112,2116.0
113,2118.0
114,2135.0
115,2140.0
116,2140.0
117,2164.0
118,2164.0
119,2175.0
120,2209.0
121,2233.0
122,2234.0
123,2260.0
124,2287.0
125,2308.0
126,2332.0
127,2356.0
128,2356.0
129,2382.0
130,2382.0
131,2382.0
132,2382.0
133,2382.0
134,2382.0
135,2382.0
136,2382.0
137,2382.0
138,2389.0
139,2428.0
140,2452.0
141,2476.0
142,2500.0
143,2524.0
144,2572.0
145,2596.0
146,2661.0
147,2668.0
148,2668.0
149,2668.0
150,2668.0
151,2676.0
152,2692.0
153,2716.0
154,2745.0
155,2764.0
156,2764.0
157,2785.0
158,2788.0
159,2812.0
160,2812.0
161,2812.0
162,2812.0
163,2821.0
164,2823.0
165,2825.0
166,2836.0
167,2836.0
168,2836.0
169,2836.0
170,2884.0
171,2884.0
172,2908.0
173,2926.0
174,2931.0
175,2943.0
176,2955.0
177,2956.0
178,2956.0
179,2968.0
180,2973.0
181,2980.0
182,3004.0
183,3004.0
184,3035.0
185,3040.0
186,3041.0
187,3050.0
188,3052.0
189,3052.0
190,3052.0
191,3054.0
192,3066.0
193,3076.0
194,3091.0
195,3124.0
196,3148.0
197,3171.0
198,3172.0
199,3213.0
200,3219.0
201,3220.0
202,3237.0
203,3244.0
204,3244.0
205,3280.0
206,3283.0
207,3284.0
208,3285.0
209,3286.0
210,3286.0
211,3292.0
212,3292.0
213,3292.0
214,3300.0
215,3330.0
216,3364.0
217,3364.0
218,3364.0
219,3371.0
220,3405.0
221,3451.0
222,3452.0
223,3452.0
224,3452.0
225,3452.0
226,3454.0
227,3454.0
228,3454.0
229,3454.0
230,3460.0
231,3472.0
232,3472.0
233,3508.0
234,3556.0
235,3574.0
236,3580.0
237,3594.0
238,3594.0
239,3595.0
240,3604.0
241,3604.0
242,3628.0
243,3644.0
244,3652.0
245,3676.0
246,3689.0
247,3698.0
248,3700.0
249,3709.0
250,3728.0
251,3735.0
252,3745.0
253,3787.0
254,3787.0
255,3791.0
256,3806.0
257,3820.0
258,3820.0
259,3844.0
260,3868.0
261,3911.0
262,3916.0
263,3941.0
264,3955.0
265,3958.0
266,3959.0
267,3964.0
268,3976.0
269,3981.0
270,3989.0
271,4060.0
272,4084.0
273,4108.0
274,4125.0
275,4126.0
276,4126.0
277,4132.0
278,4156.0
279,4228.0
280,4228.0
281,4228.0
282,4228.0
283,4237.0
284,4240.0
285,4248.0
286,4248.0
287,4252.0
288,4252.0
289,4260.0
290,4260.0
291,4288.0
292,4288.0
293,4300.0
294,4348.0
295,4348.0
296,4359.0
297,4379.0
298,4396.0
299,4396.0
300,4421.0
301,4444.0
302,4453.0
303,4456.0
304,4468.0
305,4473.0
306,4540.0
307,4554.0
308,4558.0
309,4564.0
310,4569.0
311,4571.0
312,4588.0
313,4612.0
314,4612.0
315,4612.0
316,4619.0
317,4636.0
318,4643.0
319,4647.0
320,4660.0
321,4684.0
322,4708.0
323,4708.0
324,4732.0
325,4756.0
326,4763.0
327,4771.0
328,4773.0
329,4778.0
330,4804.0
331,4823.0
332,4828.0
333,4833.0
334,4852.0
335,4852.0
336,4868.0
