,0
0,556.0
1,820.0
2,1084.0
3,1516.0
4,1636.0
5,1900.0
6,1924.0
7,1948.0
8,2054.0
9,2260.0
10,2260.0
11,2284.0
12,2476.0
13,2620.0
14,2692.0
15,2812.0
16,2812.0
17,2932.0
18,2980.0
19,3172.0
20,3268.0
21,3452.0
22,3772.0
23,3796.0
24,4108.0
25,4132.0
26,4190.0
27,4396.0
28,4636.0
29,5092.0
30,5140.0
31,5188.0
32,5308.0
33,5332.0
34,5332.0
35,5332.0
36,5332.0
37,5332.0
38,5332.0
39,5332.0
40,5332.0
41,5332.0
42,5332.0
43,5332.0
44,5332.0
45,5332.0
46,5332.0
47,5332.0
48,5332.0
49,5332.0
50,5332.0
51,5332.0
52,5332.0
53,5332.0
54,5332.0
55,5332.0
56,5332.0
57,5332.0
58,5404.0
59,5500.0
60,5524.0
61,5548.0
62,5596.0
63,5668.0
64,5818.0
65,5818.0
66,5818.0
67,5818.0
68,5818.0
69,5818.0
70,5819.0
71,5819.0
72,5819.0
73,5819.0
74,5819.0
75,5819.0
76,5819.0
77,5819.0
78,5819.0
79,5819.0
80,5836.0
81,5860.0
82,6100.0
83,6316.0
84,6412.0
85,6580.0
86,6772.0
87,6783.0
88,7197.0
89,7228.0
90,7348.0
91,7612.0
92,7673.0
93,7673.0
94,7876.0
95,7972.0
96,8044.0
97,8075.0
98,8140.0
99,8524.0
100,8668.0
101,8692.0
102,8745.0
103,8812.0
104,8932.0
105,9052.0
106,9124.0
107,9148.0
108,9148.0
109,9316.0
110,9460.0
111,9502.0
112,9580.0
113,9628.0
114,9652.0
115,9748.0
116,9940.0
117,9988.0
118,10012.0
119,10013.0
120,10108.0
121,10156.0
122,10300.0
123,10342.0
124,10396.0
125,10708.0
126,10972.0
127,11058.0
128,11116.0
129,11116.0
130,11476.0
131,11788.0
132,11908.0
133,12076.0
134,12076.0
135,12196.0
136,12347.0
137,12388.0
138,12484.0
139,12730.0
140,13046.0
141,15234.0
142,15298.0
143,15458.0
144,15892.0
145,16049.0
146,16076.0
147,16175.0
148,16642.0
149,16911.0
150,17493.0
