,0
0,388.0
1,412.0
2,436.0
3,484.0
4,868.0
5,1060.0
6,1060.0
7,1132.0
8,1324.0
9,1348.0
10,1372.0
11,1396.0
12,1612.0
13,1636.0
14,1828.0
15,1852.0
16,2020.0
17,2068.0
18,2068.0
19,2116.0
20,2140.0
21,2236.0
22,2284.0
23,2332.0
24,2560.0
25,2596.0
26,2716.0
27,2788.0
28,3196.0
29,3244.0
30,3388.0
31,3700.0
32,3895.0
33,4252.0
34,4285.0
35,4644.0
36,5812.0
37,6783.0
38,6808.0
39,7292.0
40,7292.0
41,7312.0
42,7811.0
43,7973.0
44,7974.0
45,8171.0
46,8174.0
47,8274.0
48,8275.0
49,8337.0
50,8525.0
51,8616.0
52,8741.0
53,9030.0
54,9099.0
55,9112.0
56,10302.0
57,10372.0
58,10390.0
59,10421.0
60,10421.0
61,10468.0
62,10486.0
63,10552.0
64,10624.0
65,10628.0
66,10637.0
67,10639.0
68,10690.0
69,10690.0
70,10690.0
71,10690.0
72,10690.0
73,10690.0
74,10690.0
75,10690.0
76,10690.0
77,10690.0
78,10690.0
79,10693.0
80,10706.0
81,10714.0
82,10714.0
83,10781.0
84,10793.0
85,10802.0
86,10807.0
87,10812.0
88,10829.0
89,10872.0
90,10926.0
91,10957.0
92,10964.0
93,10974.0
94,10986.0
95,11002.0
96,11016.0
97,11088.0
98,11099.0
99,11105.0
100,11130.0
101,11168.0
102,11178.0
103,11182.0
104,11242.0
105,11253.0
106,11306.0
107,11318.0
108,11360.0
109,11367.0
110,11421.0
111,11426.0
112,11430.0
113,11477.0
114,11478.0
115,11483.0
116,11534.0
117,11534.0
118,11552.0
119,11582.0
120,11598.0
121,11629.0
122,11675.0
123,11713.0
124,11798.0
125,11840.0
126,11850.0
127,11853.0
128,11894.0
129,11906.0
130,11938.0
131,11946.0
132,11957.0
133,11985.0
134,12033.0
135,12062.0
136,12069.0
137,12080.0
138,12135.0
139,12149.0
140,12160.0
141,12176.0
142,12182.0
143,12229.0
144,12269.0
145,12274.0
146,12280.0
147,12296.0
148,12298.0
149,12311.0
150,12321.0
151,12347.0
152,12374.0
153,12461.0
154,12509.0
155,12509.0
156,12511.0
157,12534.0
158,12575.0
159,12596.0
160,12599.0
161,12616.0
162,12654.0
163,12656.0
164,12659.0
165,12670.0
166,12680.0
167,12699.0
168,12743.0
169,12777.0
170,12800.0
171,12845.0
172,12857.0
173,12859.0
174,12871.0
175,12872.0
176,12884.0
177,12920.0
178,12944.0
179,12950.0
180,12955.0
181,12955.0
182,12965.0
183,12965.0
184,12967.0
185,12968.0
186,12969.0
187,12969.0
188,12980.0
189,12990.0
190,12999.0
191,13022.0
192,13064.0
193,13094.0
194,13112.0
195,13120.0
196,13131.0
197,13155.0
198,13166.0
199,13167.0
200,13212.0
201,13237.0
202,13243.0
203,13253.0
204,13258.0
205,13259.0
206,13301.0
207,13325.0
208,13327.0
209,13350.0
210,13351.0
211,13360.0
212,13363.0
213,13363.0
214,13372.0
215,13390.0
216,13397.0
217,13399.0
218,13403.0
219,13421.0
220,13422.0
221,13426.0
222,13439.0
223,13444.0
224,13457.0
225,13500.0
226,13502.0
227,13519.0
228,13528.0
229,13542.0
230,13544.0
231,13560.0
232,13575.0
233,13578.0
234,13582.0
235,13586.0
236,13588.0
237,13588.0
238,13592.0
239,13611.0
240,13623.0
241,13623.0
242,13628.0
243,13643.0
244,13660.0
245,13665.0
246,13683.0
247,13705.0
248,13716.0
249,13717.0
250,13781.0
251,13789.0
252,13801.0
253,13812.0
254,13838.0
255,13861.0
256,13872.0
257,13876.0
258,13880.0
259,13981.0
260,13990.0
261,13995.0
262,14043.0
263,14044.0
264,14045.0
265,14048.0
266,14097.0
267,14107.0
268,14114.0
269,14117.0
270,14117.0
271,14117.0
272,14158.0
273,14163.0
274,14182.0
275,14212.0
276,14228.0
277,14230.0
278,14231.0
279,14233.0
280,14278.0
281,14293.0
282,14298.0
283,14339.0
284,14349.0
285,14357.0
286,14362.0
287,14398.0
288,14400.0
289,14402.0
290,14402.0
291,14405.0
292,14407.0
293,14408.0
294,14429.0
295,14454.0
296,14456.0
297,14518.0
298,14527.0
299,14574.0
300,14575.0
301,14623.0
302,14660.0
303,14669.0
304,14689.0
305,14717.0
306,14718.0
307,14723.0
308,14732.0
309,14734.0
310,14739.0
311,14740.0
312,14740.0
313,14780.0
314,14787.0
315,14802.0
316,14822.0
317,14823.0
318,14843.0
319,14859.0
320,14861.0
321,14861.0
322,14864.0
323,14884.0
324,14888.0
325,14905.0
326,14911.0
327,14912.0
328,14913.0
329,14921.0
330,14923.0
331,14925.0
332,14933.0
333,14960.0
334,14981.0
335,14986.0
336,15004.0
337,15019.0
338,15027.0
339,15031.0
340,15069.0
341,15089.0
342,15090.0
343,15096.0
344,15118.0
345,15126.0
346,15130.0
347,15147.0
348,15148.0
349,15153.0
350,15182.0
351,15190.0
352,15223.0
353,15234.0
354,15237.0
355,15243.0
356,15258.0
357,15293.0
358,15317.0
359,15331.0
360,15340.0
361,15349.0
362,15365.0
363,15419.0
364,15422.0
365,15439.0
366,15461.0
367,15473.0
368,15483.0
369,15485.0
370,15490.0
371,15529.0
372,15548.0
373,15598.0
374,15630.0
375,15653.0
376,15661.0
377,15686.0
378,15688.0
379,15693.0
380,15716.0
381,15724.0
382,15738.0
383,15742.0
384,15749.0
385,15755.0
386,15790.0
387,15791.0
388,15810.0
389,15825.0
390,15836.0
391,15845.0
392,15891.0
393,15937.0
394,15961.0
395,15966.0
396,16005.0
397,16012.0
398,16015.0
399,16017.0
400,16059.0
401,16062.0
402,16075.0
403,16079.0
404,16085.0
405,16117.0
406,16126.0
407,16156.0
408,16161.0
409,16162.0
410,16180.0
411,16201.0
412,16204.0
413,16205.0
414,16253.0
415,16254.0
416,16254.0
417,16261.0
418,16276.0
419,16285.0
420,16298.0
421,16306.0
422,16373.0
423,16430.0
424,16443.0
425,16452.0
426,16471.0
427,16475.0
428,16479.0
429,16516.0
430,16519.0
431,16540.0
432,16574.0
433,16574.0
434,16574.0
435,16578.0
436,16586.0
437,16665.0
438,16674.0
439,16691.0
440,16713.0
441,16733.0
442,16763.0
443,16766.0
444,16790.0
445,16815.0
446,16817.0
447,16847.0
448,16848.0
449,16850.0
450,16853.0
451,16854.0
452,16922.0
453,16938.0
454,16977.0
455,17015.0
456,17015.0
457,17023.0
458,17026.0
459,17066.0
460,17091.0
461,17091.0
462,17102.0
463,17151.0
464,17164.0
465,17188.0
466,17193.0
467,17194.0
468,17198.0
469,17223.0
470,17235.0
471,17247.0
472,17257.0
473,17286.0
474,17295.0
475,17328.0
476,17337.0
477,17339.0
478,17367.0
479,17367.0
480,17367.0
481,17396.0
482,17406.0
483,17408.0
484,17417.0
485,17419.0
486,17439.0
487,17441.0
488,17442.0
489,17446.0
490,17471.0
491,17484.0
492,17487.0
493,17495.0
494,17504.0
495,17507.0
