,0
0,76.0
1,188.0
2,192.0
3,193.0
4,206.0
5,268.0
6,315.0
7,389.0
8,523.0
9,577.0
10,612.0
11,643.0
12,702.0
13,710.0
14,717.0
15,722.0
16,781.0
17,793.0
18,806.0
19,847.0
20,881.0
21,953.0
22,969.0
23,992.0
24,1102.0
25,1109.0
26,1125.0
27,1154.0
28,1164.0
29,1167.0
30,1177.0
31,1183.0
32,1229.0
33,1271.0
34,1272.0
35,1335.0
36,1348.0
37,1375.0
38,1425.0
39,1444.0
40,1451.0
41,1510.0
42,1545.0
43,1564.0
44,1577.0
45,1589.0
46,1598.0
47,1611.0
48,1632.0
49,1643.0
50,1660.0
51,1669.0
52,1670.0
53,1670.0
54,1672.0
55,1673.0
56,1700.0
57,1704.0
58,1708.0
59,1713.0
60,1721.0
61,1725.0
62,1743.0
63,1743.0
64,1791.0
65,1859.0
66,1890.0
67,1896.0
68,1900.0
69,1912.0
70,1914.0
71,1919.0
72,1923.0
73,1925.0
74,1943.0
75,1947.0
76,1948.0
77,2010.0
78,2014.0
79,2014.0
80,2059.0
81,2075.0
82,2077.0
83,2080.0
84,2200.0
85,2213.0
86,2215.0
87,2236.0
88,2252.0
89,2252.0
90,2252.0
91,2252.0
92,2254.0
93,2255.0
94,2258.0
95,2259.0
96,2269.0
97,2290.0
98,2303.0
99,2306.0
100,2315.0
101,2324.0
102,2350.0
103,2384.0
104,2390.0
105,2413.0
106,2425.0
107,2436.0
108,2445.0
109,2449.0
110,2465.0
111,2469.0
112,2473.0
113,2477.0
114,2517.0
115,2529.0
116,2547.0
117,2548.0
118,2557.0
119,2559.0
120,2564.0
121,2567.0
122,2581.0
123,2588.0
124,2596.0
125,2597.0
126,2606.0
127,2633.0
128,2664.0
129,2667.0
130,2672.0
131,2674.0
132,2682.0
133,2692.0
134,2745.0
135,2746.0
136,2759.0
137,2804.0
138,2817.0
139,2837.0
140,2843.0
141,2863.0
142,2897.0
143,2907.0
144,2910.0
145,2949.0
146,2951.0
147,2957.0
148,2964.0
149,2971.0
150,2988.0
151,3030.0
152,3052.0
153,3088.0
154,3113.0
155,3118.0
156,3119.0
157,3119.0
158,3123.0
159,3125.0
160,3127.0
161,3128.0
162,3133.0
163,3142.0
164,3148.0
165,3151.0
166,3153.0
167,3159.0
168,3168.0
169,3183.0
170,3184.0
171,3192.0
172,3193.0
173,3196.0
174,3197.0
175,3202.0
176,3223.0
177,3241.0
178,3243.0
179,3250.0
180,3260.0
181,3277.0
182,3346.0
183,3355.0
184,3360.0
185,3361.0
186,3369.0
187,3386.0
188,3388.0
189,3404.0
190,3409.0
191,3452.0
192,3452.0
193,3452.0
194,3452.0
195,3452.0
196,3452.0
197,3452.0
198,3452.0
199,3452.0
200,3452.0
201,3452.0
202,3454.0
203,3454.0
204,3454.0
205,3454.0
206,3454.0
207,3454.0
208,3454.0
209,3454.0
210,3454.0
211,3454.0
212,3454.0
213,3454.0
214,3454.0
215,3454.0
216,3454.0
217,3454.0
218,3454.0
219,3454.0
220,3454.0
221,3454.0
222,3454.0
223,3454.0
224,3454.0
225,3454.0
226,3454.0
227,3454.0
228,3454.0
229,3454.0
230,3454.0
231,3454.0
232,3454.0
233,3454.0
234,3454.0
235,3454.0
236,3454.0
237,3454.0
238,3454.0
239,3454.0
240,3454.0
241,3454.0
242,3454.0
243,3454.0
244,3454.0
245,3454.0
246,3454.0
247,3454.0
248,3454.0
249,3454.0
250,3454.0
251,3454.0
252,3454.0
253,3454.0
254,3454.0
255,3454.0
256,3454.0
257,3454.0
258,3454.0
259,3454.0
260,3454.0
261,3454.0
262,3454.0
263,3454.0
264,3454.0
265,3454.0
266,3454.0
267,3454.0
268,3454.0
269,3454.0
270,3454.0
271,3454.0
272,3454.0
273,3454.0
274,3454.0
275,3454.0
276,3454.0
277,3454.0
278,3454.0
279,3454.0
280,3454.0
281,3454.0
282,3454.0
283,3454.0
284,3454.0
285,3454.0
286,3454.0
287,3454.0
288,3454.0
289,3454.0
290,3454.0
291,3454.0
292,3454.0
293,3454.0
294,3454.0
295,3454.0
296,3454.0
297,3454.0
298,3454.0
299,3454.0
300,3454.0
301,3454.0
302,3454.0
303,3454.0
304,3454.0
305,3454.0
306,3454.0
307,3454.0
308,3454.0
309,3454.0
310,3454.0
311,3454.0
312,3454.0
313,3454.0
314,3454.0
315,3454.0
316,3454.0
317,3454.0
318,3454.0
319,3454.0
320,3454.0
321,3454.0
322,3454.0
323,3454.0
324,3454.0
325,3454.0
326,3454.0
327,3454.0
328,3454.0
329,3454.0
330,3454.0
331,3454.0
332,3454.0
333,3454.0
334,3454.0
335,3454.0
336,3454.0
337,3454.0
338,3454.0
339,3454.0
340,3454.0
341,3454.0
342,3454.0
343,3454.0
344,3454.0
345,3454.0
346,3454.0
347,3454.0
348,3454.0
349,3454.0
350,3454.0
351,3454.0
352,3454.0
353,3454.0
354,3454.0
355,3454.0
356,3454.0
357,3454.0
358,3454.0
359,3454.0
360,3454.0
361,3454.0
362,3454.0
363,3454.0
364,3454.0
365,3454.0
366,3454.0
367,3454.0
368,3454.0
369,3454.0
370,3454.0
371,3454.0
372,3454.0
373,3454.0
374,3454.0
375,3454.0
376,3454.0
377,3454.0
378,3454.0
379,3454.0
380,3454.0
381,3454.0
382,3454.0
383,3454.0
384,3454.0
385,3454.0
386,3454.0
387,3454.0
388,3454.0
389,3454.0
390,3454.0
391,3454.0
392,3454.0
393,3454.0
394,3454.0
395,3454.0
396,3454.0
397,3454.0
398,3454.0
399,3454.0
400,3454.0
401,3454.0
402,3454.0
403,3454.0
404,3454.0
405,3454.0
406,3454.0
407,3454.0
408,3454.0
409,3454.0
410,3454.0
411,3454.0
412,3454.0
413,3454.0
414,3454.0
415,3454.0
416,3454.0
417,3454.0
418,3454.0
419,3454.0
420,3454.0
421,3454.0
422,3454.0
423,3454.0
424,3454.0
425,3454.0
