,0
0,52.0
1,74.0
2,79.0
3,99.0
4,100.0
5,100.0
6,124.0
7,124.0
8,172.0
9,220.0
10,220.0
11,292.0
12,292.0
13,316.0
14,364.0
15,372.0
16,436.0
17,436.0
18,460.0
19,460.0
20,508.0
21,580.0
22,604.0
23,628.0
24,628.0
25,628.0
26,628.0
27,652.0
28,652.0
29,724.0
30,748.0
31,772.0
32,773.0
33,774.0
34,788.0
35,793.0
36,796.0
37,796.0
38,819.0
39,863.0
40,868.0
41,868.0
42,940.0
43,961.0
44,964.0
45,964.0
46,964.0
47,988.0
48,988.0
49,988.0
50,996.0
51,1036.0
52,1036.0
53,1080.0
54,1132.0
55,1132.0
56,1180.0
57,1228.0
58,1251.0
59,1252.0
60,1282.0
61,1300.0
62,1372.0
63,1376.0
64,1396.0
65,1444.0
66,1444.0
67,1444.0
68,1444.0
69,1468.0
70,1468.0
71,1468.0
72,1468.0
73,1482.0
74,1516.0
75,1540.0
76,1570.0
77,1612.0
78,1612.0
79,1612.0
80,1612.0
81,1626.0
82,1636.0
83,1636.0
84,1636.0
85,1636.0
86,1636.0
87,1636.0
88,1660.0
89,1660.0
90,1660.0
91,1689.0
92,1708.0
93,1708.0
94,1732.0
95,1732.0
96,1732.0
97,1741.0
98,1746.0
99,1780.0
100,1785.0
101,1804.0
102,1828.0
103,1828.0
104,1838.0
105,1876.0
106,1876.0
107,1889.0
108,1890.0
109,1897.0
110,1900.0
111,1923.0
112,1924.0
113,1948.0
114,1967.0
115,1972.0
116,1972.0
117,1972.0
118,1972.0
119,1972.0
120,1991.0
121,2020.0
122,2041.0
123,2044.0
124,2061.0
125,2068.0
126,2068.0
127,2068.0
128,2068.0
129,2068.0
130,2068.0
131,2092.0
132,2125.0
133,2138.0
134,2140.0
135,2140.0
136,2140.0
137,2141.0
138,2212.0
139,2233.0
140,2236.0
141,2236.0
142,2236.0
143,2251.0
144,2284.0
145,2344.0
146,2352.0
147,2356.0
148,2382.0
149,2382.0
150,2382.0
151,2404.0
152,2404.0
153,2404.0
154,2410.0
155,2428.0
156,2441.0
157,2452.0
158,2476.0
159,2500.0
160,2500.0
161,2524.0
162,2540.0
163,2545.0
164,2545.0
165,2548.0
166,2566.0
167,2566.0
168,2577.0
169,2587.0
170,2587.0
171,2588.0
172,2588.0
173,2644.0
174,2668.0
175,2668.0
176,2692.0
177,2702.0
178,2705.0
179,2716.0
180,2788.0
181,2788.0
182,2797.0
183,2812.0
184,2812.0
185,2812.0
186,2812.0
187,2812.0
188,2812.0
189,2812.0
190,2812.0
191,2812.0
192,2812.0
193,2816.0
194,2839.0
195,2853.0
196,2860.0
197,2860.0
198,2860.0
199,2860.0
200,2860.0
201,2860.0
202,2860.0
203,2860.0
204,2860.0
205,2860.0
206,2860.0
207,2860.0
208,2860.0
209,2860.0
210,2860.0
211,2865.0
212,2899.0
213,2945.0
214,2949.0
215,2955.0
216,2956.0
217,2964.0
218,2969.0
219,2976.0
220,2980.0
221,2980.0
222,2980.0
223,2981.0
224,2992.0
225,3003.0
226,3018.0
227,3034.0
228,3065.0
229,3068.0
230,3068.0
231,3070.0
232,3080.0
233,3085.0
234,3091.0
235,3100.0
236,3106.0
237,3110.0
238,3112.0
239,3112.0
240,3116.0
241,3116.0
242,3124.0
243,3141.0
244,3148.0
245,3168.0
246,3217.0
247,3229.0
248,3233.0
249,3238.0
250,3244.0
251,3250.0
252,3254.0
253,3268.0
254,3268.0
255,3268.0
256,3278.0
257,3280.0
258,3299.0
259,3301.0
260,3301.0
261,3302.0
262,3307.0
263,3339.0
264,3377.0
265,3378.0
266,3400.0
267,3401.0
268,3436.0
269,3445.0
270,3452.0
271,3452.0
272,3452.0
273,3452.0
274,3452.0
275,3454.0
276,3454.0
277,3454.0
278,3454.0
279,3454.0
280,3454.0
281,3454.0
282,3454.0
283,3454.0
284,3484.0
285,3508.0
286,3517.0
287,3517.0
288,3524.0
289,3529.0
290,3543.0
291,3578.0
292,3600.0
293,3604.0
294,3604.0
295,3604.0
296,3612.0
297,3626.0
298,3652.0
299,3676.0
300,3724.0
301,3724.0
302,3724.0
303,3731.0
304,3735.0
305,3748.0
306,3757.0
307,3772.0
308,3772.0
309,3777.0
310,3781.0
311,3793.0
312,3796.0
313,3796.0
314,3820.0
315,3820.0
316,3856.0
317,3865.0
318,3868.0
319,3930.0
320,3932.0
321,3945.0
322,3952.0
323,3959.0
324,3964.0
325,3969.0
326,3969.0
327,3969.0
328,3969.0
329,3969.0
330,3969.0
331,3969.0
332,3969.0
333,4017.0
334,4036.0
335,4036.0
336,4065.0
337,4084.0
338,4108.0
339,4108.0
340,4119.0
341,4126.0
342,4126.0
343,4132.0
344,4132.0
345,4180.0
346,4180.0
347,4197.0
348,4215.0
349,4236.0
350,4237.0
351,4237.0
352,4237.0
353,4237.0
354,4241.0
355,4242.0
356,4242.0
357,4244.0
358,4254.0
359,4261.0
360,4261.0
361,4261.0
362,4276.0
363,4286.0
364,4286.0
365,4288.0
366,4288.0
367,4288.0
368,4291.0
369,4312.0
370,4315.0
371,4324.0
372,4324.0
373,4324.0
374,4324.0
375,4327.0
376,4327.0
377,4329.0
378,4338.0
379,4339.0
380,4344.0
381,4348.0
382,4353.0
383,4353.0
384,4357.0
385,4358.0
