,0
0,44.0
1,47.0
2,52.0
3,54.0
4,61.0
5,76.0
6,76.0
7,95.0
8,101.0
9,111.0
10,111.0
11,124.0
12,129.0
13,148.0
14,154.0
15,166.0
16,173.0
17,188.0
18,188.0
19,192.0
20,193.0
21,196.0
22,196.0
23,196.0
24,196.0
25,199.0
26,201.0
27,206.0
28,220.0
29,226.0
30,228.0
31,268.0
32,268.0
33,269.0
34,278.0
35,292.0
36,292.0
37,300.0
38,315.0
39,340.0
40,340.0
41,340.0
42,349.0
43,358.0
44,364.0
45,387.0
46,388.0
47,388.0
48,388.0
49,389.0
50,401.0
51,411.0
52,412.0
53,412.0
54,424.0
55,425.0
56,425.0
57,425.0
58,425.0
59,426.0
60,431.0
61,436.0
62,436.0
63,436.0
64,443.0
65,450.0
66,463.0
67,484.0
68,502.0
69,508.0
70,516.0
71,523.0
72,532.0
73,532.0
74,532.0
75,541.0
76,542.0
77,556.0
78,558.0
79,562.0
80,574.0
81,574.0
82,577.0
83,580.0
84,586.0
85,593.0
86,593.0
87,598.0
88,603.0
89,612.0
90,623.0
91,643.0
92,657.0
93,700.0
94,702.0
95,707.0
96,710.0
97,716.0
98,717.0
99,722.0
100,747.0
101,772.0
102,772.0
103,773.0
104,773.0
105,781.0
106,793.0
107,796.0
108,806.0
109,820.0
110,820.0
111,820.0
112,844.0
113,847.0
114,868.0
115,881.0
116,902.0
117,909.0
118,916.0
119,917.0
120,928.0
121,940.0
122,950.0
123,953.0
124,953.0
125,965.0
126,968.0
127,969.0
128,988.0
129,992.0
130,1012.0
131,1012.0
132,1012.0
133,1036.0
134,1036.0
135,1036.0
136,1036.0
137,1060.0
138,1060.0
139,1060.0
140,1084.0
141,1084.0
142,1084.0
143,1102.0
144,1105.0
145,1108.0
146,1108.0
147,1108.0
148,1109.0
149,1116.0
150,1121.0
151,1125.0
152,1132.0
153,1132.0
154,1132.0
155,1142.0
156,1154.0
157,1164.0
158,1167.0
159,1177.0
160,1180.0
161,1183.0
162,1185.0
163,1204.0
164,1228.0
165,1228.0
166,1229.0
167,1251.0
168,1252.0
169,1252.0
170,1252.0
171,1271.0
172,1272.0
173,1276.0
174,1300.0
175,1324.0
176,1324.0
177,1335.0
178,1348.0
179,1348.0
180,1362.0
181,1372.0
182,1372.0
183,1372.0
184,1375.0
185,1391.0
186,1396.0
187,1396.0
188,1413.0
189,1420.0
190,1420.0
191,1420.0
192,1425.0
193,1430.0
194,1444.0
195,1451.0
196,1452.0
197,1468.0
198,1492.0
199,1492.0
200,1510.0
201,1516.0
202,1516.0
203,1516.0
204,1516.0
205,1545.0
206,1545.0
207,1564.0
208,1564.0
209,1569.0
210,1569.0
211,1569.0
212,1577.0
213,1583.0
214,1588.0
215,1588.0
216,1588.0
217,1589.0
218,1590.0
219,1598.0
220,1601.0
221,1611.0
222,1612.0
223,1612.0
224,1612.0
225,1626.0
226,1629.0
227,1632.0
228,1636.0
229,1636.0
230,1636.0
231,1639.0
232,1643.0
233,1643.0
234,1652.0
235,1652.0
236,1660.0
237,1660.0
238,1660.0
239,1669.0
240,1670.0
241,1670.0
242,1672.0
243,1672.0
244,1673.0
245,1677.0
246,1684.0
247,1684.0
248,1699.0
249,1700.0
250,1702.0
251,1702.0
252,1704.0
253,1705.0
254,1708.0
255,1708.0
256,1708.0
257,1713.0
258,1715.0
259,1717.0
260,1721.0
261,1725.0
262,1727.0
263,1732.0
264,1732.0
265,1732.0
266,1740.0
267,1743.0
268,1743.0
269,1748.0
270,1754.0
271,1763.0
272,1765.0
273,1780.0
274,1780.0
275,1783.0
276,1791.0
277,1793.0
278,1804.0
279,1815.0
280,1816.0
281,1828.0
282,1828.0
283,1828.0
284,1830.0
285,1837.0
286,1847.0
287,1850.0
288,1851.0
289,1852.0
290,1852.0
291,1852.0
292,1859.0
293,1863.0
294,1876.0
295,1885.0
296,1888.0
297,1889.0
298,1890.0
299,1896.0
300,1897.0
301,1900.0
302,1900.0
303,1909.0
304,1912.0
305,1914.0
306,1914.0
307,1919.0
308,1923.0
309,1924.0
310,1925.0
311,1943.0
312,1947.0
313,1948.0
314,1948.0
315,1948.0
316,1948.0
317,1955.0
318,1972.0
319,1982.0
320,1983.0
321,1996.0
322,2009.0
323,2010.0
324,2014.0
325,2014.0
326,2016.0
327,2020.0
328,2020.0
329,2029.0
330,2037.0
331,2040.0
332,2044.0
333,2044.0
334,2044.0
335,2054.0
336,2055.0
337,2056.0
338,2059.0
339,2060.0
340,2068.0
341,2068.0
342,2068.0
343,2068.0
344,2070.0
345,2075.0
346,2075.0
347,2076.0
348,2077.0
