,0
0,278.0
1,340.0
2,1748.0
3,1948.0
4,1955.0
5,2308.0
6,2312.0
7,2596.0
8,2692.0
9,3292.0
10,3316.0
11,3556.0
12,3589.0
13,3652.0
14,3868.0
15,3969.0
16,3969.0
17,3969.0
18,3988.0
19,4156.0
20,4156.0
21,4257.0
22,4276.0
23,4636.0
24,4684.0
25,4804.0
26,4972.0
27,4996.0
28,5001.0
29,5116.0
30,5164.0
31,5313.0
32,5332.0
33,5332.0
34,5479.0
35,5548.0
36,5611.0
37,5620.0
38,5762.0
39,5764.0
40,5764.0
41,5764.0
42,5956.0
43,6004.0
44,6124.0
45,6137.0
46,6137.0
47,6137.0
48,6178.0
49,6364.0
50,6388.0
51,6412.0
52,6436.0
53,6460.0
54,6484.0
55,6484.0
56,6508.0
57,6508.0
58,6556.0
59,6556.0
60,6562.0
61,6831.0
62,6832.0
63,6832.0
64,6832.0
65,6970.0
66,7012.0
67,7438.0
68,7566.0
69,7660.0
70,7836.0
71,7852.0
72,7900.0
73,7924.0
74,8194.0
75,8194.0
76,8194.0
77,8218.0
78,8218.0
79,8362.0
80,8428.0
81,8452.0
82,8524.0
83,8620.0
84,8860.0
85,9076.0
86,9148.0
87,9148.0
88,9148.0
89,9148.0
90,9148.0
91,9148.0
92,9148.0
93,9148.0
94,9196.0
95,9268.0
96,9292.0
97,9436.0
98,9436.0
99,9628.0
100,9748.0
101,9868.0
102,9988.0
103,10210.0
104,10271.0
105,10420.0
106,10506.0
107,10518.0
108,10684.0
109,10684.0
110,10684.0
111,10684.0
112,10684.0
113,10684.0
114,10684.0
115,10684.0
116,10684.0
117,10732.0
118,10762.0
119,10786.0
120,10924.0
121,10972.0
122,10972.0
123,10972.0
124,10972.0
125,10996.0
126,11092.0
127,11140.0
128,11140.0
129,11260.0
130,11308.0
131,11380.0
132,11428.0
133,11476.0
134,11644.0
135,11794.0
136,11794.0
137,11884.0
138,11932.0
139,12004.0
140,12052.0
141,12052.0
142,12100.0
143,12102.0
144,12102.0
145,12102.0
146,12102.0
147,12102.0
148,12102.0
149,12102.0
150,12124.0
151,12148.0
152,12196.0
153,12220.0
154,12220.0
155,12220.0
156,12220.0
157,12268.0
158,12268.0
159,12268.0
160,12278.0
161,12316.0
162,12347.0
163,12347.0
164,12388.0
165,12388.0
166,12388.0
167,12388.0
168,12412.0
169,12436.0
170,12436.0
171,12436.0
172,12436.0
173,12484.0
174,12484.0
175,12886.0
176,13042.0
177,13186.0
178,13186.0
179,13186.0
180,13358.0
181,13474.0
182,14026.0
183,14232.0
184,14304.0
185,14563.0
186,15117.0
187,15519.0
188,15533.0
189,15902.0
190,15975.0
191,16662.0
192,16662.0
193,16662.0
194,16662.0
195,16662.0
196,16662.0
197,16662.0
198,16742.0
199,16760.0
200,17290.0
201,17386.0
202,17482.0
