,0
0,556.0
1,820.0
2,820.0
3,1012.0
4,1084.0
5,1516.0
6,1636.0
7,1900.0
8,1924.0
9,1948.0
10,2020.0
11,2054.0
12,2068.0
13,2260.0
14,2260.0
15,2284.0
16,2308.0
17,2476.0
18,2572.0
19,2620.0
20,2668.0
21,2692.0
22,2764.0
23,2812.0
24,2812.0
25,2932.0
26,2980.0
27,3172.0
28,3268.0
29,3452.0
30,3652.0
31,3772.0
32,3796.0
33,3796.0
34,3844.0
35,4108.0
36,4132.0
37,4190.0
38,4372.0
39,4396.0
40,4627.0
41,4636.0
42,5092.0
43,5140.0
44,5188.0
45,5308.0
46,5332.0
47,5332.0
48,5332.0
49,5332.0
50,5332.0
51,5332.0
52,5332.0
53,5332.0
54,5332.0
55,5332.0
56,5332.0
57,5332.0
58,5332.0
59,5332.0
60,5332.0
61,5332.0
62,5332.0
63,5332.0
64,5332.0
65,5332.0
66,5332.0
67,5332.0
68,5332.0
69,5332.0
70,5332.0
71,5404.0
72,5500.0
73,5524.0
74,5548.0
75,5596.0
76,5668.0
77,5788.0
78,5818.0
79,5818.0
80,5818.0
81,5818.0
82,5818.0
83,5818.0
84,5819.0
85,5819.0
86,5819.0
87,5819.0
88,5819.0
89,5819.0
90,5819.0
91,5819.0
92,5819.0
93,5819.0
94,5836.0
95,5860.0
96,5884.0
97,6100.0
98,6316.0
99,6412.0
100,6580.0
101,6772.0
102,6783.0
103,7197.0
104,7228.0
105,7348.0
106,7612.0
107,7673.0
108,7673.0
109,7673.0
110,7756.0
111,7876.0
112,7972.0
113,8044.0
114,8075.0
115,8140.0
116,8332.0
117,8332.0
118,8332.0
119,8332.0
120,8368.0
121,8524.0
122,8668.0
123,8692.0
124,8745.0
125,8812.0
126,8932.0
127,9052.0
128,9124.0
129,9148.0
130,9148.0
131,9316.0
132,9460.0
133,9502.0
134,9580.0
135,9628.0
136,9652.0
137,9748.0
138,9940.0
139,9988.0
140,10012.0
141,10013.0
142,10108.0
143,10123.0
144,10156.0
145,10276.0
146,10300.0
147,10342.0
148,10396.0
149,10587.0
150,10692.0
151,10708.0
152,10779.0
153,10792.0
154,10868.0
155,10972.0
156,11058.0
157,11116.0
158,11116.0
159,11476.0
160,11788.0
161,11908.0
162,12076.0
163,12076.0
164,12196.0
165,12347.0
166,12388.0
167,12475.0
168,12484.0
169,12640.0
170,12690.0
171,12730.0
172,13046.0
173,15234.0
174,15298.0
175,15458.0
176,15892.0
177,16049.0
178,16076.0
179,16175.0
180,16642.0
181,16911.0
182,16945.0
183,17493.0
