,0
0,76.0
1,111.0
2,111.0
3,166.0
4,173.0
5,188.0
6,188.0
7,192.0
8,193.0
9,201.0
10,206.0
11,226.0
12,268.0
13,269.0
14,315.0
15,349.0
16,389.0
17,425.0
18,431.0
19,516.0
20,523.0
21,574.0
22,577.0
23,598.0
24,612.0
25,643.0
26,657.0
27,702.0
28,710.0
29,717.0
30,722.0
31,773.0
32,773.0
33,781.0
34,793.0
35,806.0
36,847.0
37,881.0
38,953.0
39,969.0
40,992.0
41,1102.0
42,1109.0
43,1116.0
44,1121.0
45,1125.0
46,1154.0
47,1164.0
48,1167.0
49,1177.0
50,1183.0
51,1185.0
52,1229.0
53,1271.0
54,1272.0
55,1335.0
56,1348.0
57,1375.0
58,1391.0
59,1420.0
60,1425.0
61,1430.0
62,1444.0
63,1451.0
64,1452.0
65,1492.0
66,1510.0
67,1545.0
68,1545.0
69,1564.0
70,1577.0
71,1589.0
72,1590.0
73,1598.0
74,1611.0
75,1632.0
76,1643.0
77,1643.0
78,1652.0
79,1660.0
80,1669.0
81,1670.0
82,1670.0
83,1672.0
84,1673.0
85,1677.0
86,1699.0
87,1700.0
88,1704.0
89,1708.0
90,1713.0
91,1715.0
92,1721.0
93,1725.0
94,1743.0
95,1743.0
96,1791.0
97,1859.0
98,1863.0
99,1888.0
100,1890.0
101,1896.0
102,1900.0
103,1912.0
104,1914.0
105,1914.0
106,1919.0
107,1923.0
108,1925.0
109,1943.0
110,1947.0
111,1948.0
112,1982.0
113,1983.0
114,2009.0
115,2010.0
116,2014.0
117,2014.0
118,2016.0
119,2037.0
120,2040.0
121,2056.0
122,2059.0
123,2060.0
124,2075.0
125,2076.0
126,2077.0
127,2080.0
128,2129.0
129,2147.0
130,2152.0
131,2200.0
132,2213.0
133,2215.0
134,2236.0
135,2242.0
136,2245.0
137,2252.0
138,2252.0
139,2252.0
140,2252.0
141,2254.0
142,2255.0
143,2258.0
144,2259.0
145,2269.0
146,2272.0
147,2290.0
148,2301.0
149,2303.0
150,2306.0
151,2315.0
152,2324.0
153,2350.0
154,2384.0
155,2389.0
156,2390.0
157,2390.0
158,2413.0
159,2425.0
160,2426.0
161,2436.0
162,2438.0
163,2445.0
164,2449.0
165,2451.0
166,2465.0
167,2465.0
168,2469.0
169,2473.0
170,2477.0
171,2488.0
172,2517.0
173,2529.0
174,2540.0
175,2547.0
176,2548.0
177,2550.0
178,2555.0
179,2557.0
180,2559.0
181,2564.0
182,2567.0
183,2572.0
184,2581.0
185,2588.0
186,2596.0
187,2597.0
188,2606.0
189,2633.0
190,2635.0
191,2650.0
192,2664.0
193,2667.0
194,2672.0
195,2674.0
196,2677.0
197,2682.0
198,2686.0
199,2690.0
200,2692.0
201,2745.0
202,2746.0
203,2759.0
204,2764.0
205,2770.0
206,2770.0
207,2770.0
208,2798.0
209,2804.0
210,2812.0
211,2813.0
212,2817.0
213,2817.0
214,2832.0
215,2837.0
216,2841.0
217,2843.0
218,2843.0
219,2859.0
220,2863.0
221,2879.0
222,2897.0
223,2907.0
224,2910.0
225,2937.0
226,2938.0
227,2939.0
228,2949.0
229,2951.0
230,2957.0
231,2960.0
232,2964.0
233,2971.0
234,2988.0
235,3030.0
236,3052.0
237,3076.0
238,3088.0
239,3113.0
240,3118.0
241,3119.0
242,3119.0
243,3123.0
244,3125.0
245,3126.0
246,3127.0
247,3127.0
248,3127.0
249,3128.0
250,3133.0
251,3142.0
252,3144.0
253,3148.0
254,3151.0
255,3153.0
256,3159.0
257,3168.0
258,3183.0
259,3184.0
260,3188.0
261,3192.0
262,3193.0
263,3196.0
264,3197.0
265,3202.0
266,3204.0
267,3223.0
268,3223.0
269,3224.0
270,3241.0
271,3243.0
272,3243.0
273,3250.0
274,3255.0
275,3258.0
276,3260.0
277,3263.0
278,3271.0
279,3274.0
280,3277.0
281,3282.0
282,3286.0
283,3314.0
284,3320.0
285,3332.0
286,3340.0
287,3344.0
288,3346.0
289,3351.0
290,3355.0
291,3360.0
292,3360.0
293,3361.0
294,3369.0
295,3386.0
296,3388.0
297,3401.0
298,3404.0
299,3409.0
300,3420.0
301,3452.0
302,3452.0
303,3452.0
304,3452.0
305,3452.0
306,3452.0
307,3452.0
308,3452.0
309,3452.0
310,3452.0
311,3452.0
312,3454.0
313,3454.0
314,3454.0
315,3454.0
316,3454.0
317,3454.0
318,3454.0
319,3454.0
320,3454.0
321,3454.0
322,3454.0
323,3454.0
324,3454.0
325,3454.0
326,3454.0
327,3454.0
328,3454.0
329,3454.0
330,3454.0
331,3454.0
332,3454.0
333,3454.0
334,3454.0
335,3454.0
336,3454.0
337,3454.0
338,3454.0
339,3454.0
340,3454.0
341,3454.0
342,3454.0
343,3454.0
344,3454.0
345,3454.0
346,3454.0
347,3454.0
348,3454.0
349,3454.0
350,3454.0
351,3454.0
352,3454.0
353,3454.0
354,3454.0
355,3454.0
356,3454.0
357,3454.0
358,3454.0
359,3454.0
360,3454.0
361,3454.0
362,3454.0
363,3454.0
364,3454.0
365,3454.0
366,3454.0
367,3454.0
368,3454.0
369,3454.0
370,3454.0
371,3454.0
372,3454.0
373,3454.0
374,3454.0
375,3454.0
376,3454.0
377,3454.0
378,3454.0
379,3454.0
380,3454.0
381,3454.0
382,3454.0
383,3454.0
384,3454.0
385,3454.0
386,3454.0
387,3454.0
388,3454.0
389,3454.0
390,3454.0
391,3454.0
392,3454.0
393,3454.0
394,3454.0
395,3454.0
396,3454.0
397,3454.0
398,3454.0
399,3454.0
400,3454.0
401,3454.0
402,3454.0
403,3454.0
404,3454.0
405,3454.0
406,3454.0
407,3454.0
408,3454.0
409,3454.0
410,3454.0
411,3454.0
412,3454.0
413,3454.0
414,3454.0
415,3454.0
416,3454.0
417,3454.0
418,3454.0
419,3454.0
420,3454.0
421,3454.0
422,3454.0
423,3454.0
424,3454.0
425,3454.0
426,3454.0
427,3454.0
428,3454.0
429,3454.0
430,3454.0
431,3454.0
432,3454.0
433,3454.0
434,3454.0
435,3454.0
436,3454.0
437,3454.0
438,3454.0
439,3454.0
440,3454.0
441,3454.0
442,3454.0
443,3454.0
444,3454.0
445,3454.0
446,3454.0
447,3454.0
448,3454.0
449,3454.0
450,3454.0
451,3454.0
452,3454.0
453,3454.0
454,3454.0
455,3454.0
456,3454.0
457,3454.0
458,3454.0
459,3454.0
460,3454.0
461,3454.0
462,3454.0
463,3454.0
464,3454.0
465,3454.0
466,3454.0
467,3454.0
468,3454.0
469,3454.0
470,3454.0
471,3454.0
472,3454.0
473,3454.0
474,3454.0
475,3454.0
476,3454.0
477,3454.0
478,3454.0
479,3454.0
480,3454.0
481,3454.0
482,3454.0
483,3454.0
484,3454.0
485,3454.0
486,3454.0
487,3454.0
488,3454.0
489,3454.0
490,3454.0
491,3454.0
492,3454.0
493,3454.0
494,3454.0
495,3454.0
496,3454.0
497,3454.0
498,3454.0
499,3454.0
500,3454.0
501,3454.0
502,3454.0
503,3454.0
504,3454.0
505,3454.0
506,3454.0
507,3454.0
508,3454.0
509,3454.0
510,3454.0
511,3454.0
512,3454.0
513,3454.0
514,3454.0
515,3454.0
516,3454.0
517,3454.0
518,3454.0
519,3454.0
520,3454.0
521,3454.0
522,3454.0
523,3454.0
524,3454.0
525,3454.0
526,3454.0
527,3454.0
528,3454.0
529,3454.0
530,3454.0
531,3454.0
532,3454.0
533,3454.0
534,3454.0
535,3454.0
536,3454.0
537,3454.0
538,3454.0
539,3454.0
540,3454.0
541,3454.0
542,3454.0
543,3454.0
544,3454.0
545,3454.0
546,3454.0
547,3454.0
548,3454.0
549,3454.0
550,3454.0
551,3454.0
552,3454.0
553,3454.0
554,3454.0
555,3454.0
556,3454.0
557,3454.0
558,3454.0
559,3454.0
560,3454.0
561,3454.0
562,3454.0
563,3454.0
564,3454.0
565,3454.0
566,3454.0
567,3454.0
568,3454.0
569,3454.0
570,3454.0
571,3454.0
572,3454.0
573,3454.0
574,3454.0
575,3454.0
576,3454.0
577,3454.0
578,3454.0
579,3454.0
580,3454.0
581,3454.0
582,3454.0
583,3454.0
584,3454.0
585,3454.0
586,3454.0
587,3454.0
588,3454.0
589,3454.0
590,3454.0
591,3454.0
592,3454.0
593,3454.0
594,3454.0
595,3454.0
596,3454.0
597,3454.0
598,3454.0
599,3454.0
600,3454.0
601,3454.0
602,3454.0
603,3454.0
604,3454.0
605,3454.0
606,3454.0
607,3454.0
608,3454.0
609,3454.0
610,3454.0
611,3454.0
612,3454.0
613,3454.0
614,3454.0
615,3454.0
616,3454.0
617,3454.0
618,3454.0
619,3454.0
620,3454.0
621,3454.0
622,3454.0
623,3454.0
624,3454.0
625,3454.0
626,3454.0
627,3454.0
628,3454.0
629,3454.0
630,3454.0
631,3454.0
632,3454.0
633,3454.0
634,3454.0
635,3454.0
636,3454.0
637,3454.0
638,3454.0
639,3454.0
640,3454.0
641,3454.0
642,3454.0
643,3454.0
644,3454.0
645,3454.0
646,3454.0
647,3454.0
648,3454.0
649,3454.0
650,3454.0
651,3454.0
