,timestamp,disk_id,model,failure,r_sectors,u_errors,n_b_written,command_timeout,current_pending_sector_count,uncorrectable_sector_count
6241,2022-05-19,ZA102LY0,ST8000NM0055,1.0,14408.0,145.0,88144210232.0,4295032833.0,0.0,0.0
21931,2021-07-02,ZA1098EW,ST8000NM0055,1.0,2416.0,18.0,88265619088.0,0.0,0.0,0.0
70074,2022-02-15,ZA10J1YG,ST8000NM0055,1.0,0.0,0.0,85084396816.0,0.0,0.0,0.0
123984,2018-09-29,ZA10RTN4,ST8000NM0055,1.0,0.0,0.0,45478094640.0,34360262668.0,0.0,0.0
130577,2021-07-24,ZA10V55F,ST8000NM0055,1.0,456.0,45.0,16705702832.0,65537.0,1000.0,1000.0
194617,2021-05-12,ZA11K24A,ST8000NM0055,1.0,55968.0,295.0,76509561784.0,0.0,8.0,8.0
219483,2019-01-28,ZA11SBWJ,ST8000NM0055,1.0,30872.0,4.0,50244639568.0,0.0,0.0,0.0
234997,2020-04-02,ZA120V8D,ST8000NM0055,1.0,24.0,0.0,72309611040.0,0.0,0.0,0.0
246520,2020-01-31,ZA125EAV,ST8000NM0055,1.0,0.0,0.0,19011404016.0,0.0,0.0,0.0
248586,2020-04-07,ZA125VRL,ST8000NM0055,1.0,4536.0,6.0,32607587648.0,0.0,0.0,0.0
249252,2021-10-27,ZA125W8X,ST8000NM0055,1.0,0.0,0.0,31227493040.0,0.0,0.0,0.0
282073,2021-04-05,ZA12ASN7,ST8000NM0055,1.0,40.0,3.0,73323851472.0,0.0,8.0,8.0
326618,2018-09-16,ZA12GTRM,ST8000NM0055,1.0,0.0,0.0,50819334808.0,0.0,0.0,0.0
442139,2019-04-19,ZA12SQA5,ST8000NM0055,1.0,32.0,0.0,50435637640.0,0.0,0.0,0.0
463980,2019-06-25,ZA12T10W,ST8000NM0055,1.0,1880.0,9.0,51510221392.0,0.0,32.0,32.0
467874,2019-09-09,ZA12TB4Q,ST8000NM0055,1.0,216.0,9.0,53756386752.0,0.0,24.0,24.0
646711,2019-01-21,ZA12X0AP,ST8000NM0055,1.0,0.0,0.0,46947185016.0,0.0,0.0,0.0
724491,2020-02-06,ZA12XDWY,ST8000NM0055,1.0,0.0,0.0,70249401096.0,0.0,0.0,0.0
736219,2018-09-19,ZA12XE7R,ST8000NM0055,1.0,0.0,0.0,33120201904.0,0.0,0.0,0.0
749705,2019-01-17,ZA12XGTD,ST8000NM0055,1.0,24.0,2.0,46271311944.0,0.0,16.0,16.0
781918,2020-12-17,ZA12XXFR,ST8000NM0055,1.0,288.0,38.0,69624033016.0,0.0,8.0,8.0
796363,2021-08-27,ZA12XY01,ST8000NM0055,1.0,8.0,0.0,77819781288.0,0.0,0.0,0.0
832245,2022-01-11,ZA12Y0NL,ST8000NM0055,1.0,9936.0,76.0,91710865928.0,0.0,16.0,16.0
862972,2021-05-24,ZA12Y223,ST8000NM0055,1.0,32744.0,72.0,75683967192.0,0.0,0.0,0.0
868575,2019-11-19,ZA12Y2C3,ST8000NM0055,1.0,0.0,0.0,56143606232.0,0.0,0.0,0.0
893784,2019-09-22,ZA12YBEG,ST8000NM0055,1.0,0.0,0.0,56321461536.0,0.0,0.0,0.0
903748,2018-05-12,ZA12YJEW,ST8000NM0055,1.0,6464.0,14.0,36525991760.0,0.0,0.0,0.0
909870,2019-02-27,ZA12YJK7,ST8000NM0055,1.0,72.0,0.0,46894443320.0,0.0,0.0,0.0
914763,2022-06-14,ZA12YJL1,ST8000NM0055,1.0,56.0,2.0,86258008680.0,0.0,0.0,0.0
942334,2021-09-22,ZA12YYQ0,ST8000NM0055,1.0,0.0,0.0,79531432136.0,0.0,0.0,0.0
961141,2020-02-21,ZA12Z061,ST8000NM0055,1.0,616.0,1.0,59866765688.0,8590131203.0,8.0,8.0
991450,2020-04-09,ZA12Z0GA,ST8000NM0055,1.0,0.0,0.0,61723561760.0,0.0,0.0,0.0
991784,2018-12-01,ZA12Z0JA,ST8000NM0055,1.0,0.0,1.0,45264848864.0,0.0,0.0,0.0
1046328,2020-09-18,ZA1300E1,ST8000NM0055,1.0,32240.0,12.0,46014336208.0,0.0,32.0,32.0
1062588,2020-09-07,ZA130MFB,ST8000NM0055,1.0,0.0,0.0,34718246312.0,0.0,0.0,0.0
1092493,2019-03-03,ZA131FYF,ST8000NM0055,1.0,0.0,2.0,33056826144.0,0.0,48.0,48.0
1108392,2019-05-28,ZA131WTR,ST8000NM0055,1.0,344.0,0.0,51688361168.0,0.0,256.0,256.0
1129409,2021-09-13,ZA132JQ3,ST8000NM0055,1.0,56.0,0.0,79497227608.0,0.0,0.0,0.0
1149171,2018-04-05,ZA132R2A,ST8000NM0055,1.0,0.0,0.0,34196851072.0,0.0,0.0,0.0
1167666,2019-06-05,ZA133J4B,ST8000NM0055,1.0,8.0,6.0,46440112160.0,0.0,8.0,8.0
1216706,2022-01-21,ZA134LY6,ST8000NM0055,1.0,8.0,0.0,67815212128.0,0.0,0.0,0.0
1400615,2018-03-17,ZA1393ZG,ST8000NM0055,1.0,0.0,0.0,4707594648.0,0.0,0.0,0.0
1406700,2021-06-19,ZA1395VB,ST8000NM0055,1.0,56633.0,141.0,76665931560.0,0.0,16.0,16.0
1438537,2022-01-20,ZA139FP9,ST8000NM0055,1.0,872.0,33.0,82328243840.0,0.0,8.0,8.0
1450087,2018-03-20,ZA139FRG,ST8000NM0055,1.0,1008.0,24.0,33661915160.0,0.0,48.0,48.0
1498870,2021-06-15,ZA139G2B,ST8000NM0055,1.0,32.0,0.0,76586578720.0,0.0,0.0,0.0
1556038,2021-12-25,ZA139GER,ST8000NM0055,1.0,14488.0,53.0,81043902944.0,0.0,0.0,0.0
1566722,2020-05-06,ZA139GJ2,ST8000NM0055,1.0,3874.0,9.0,65022393000.0,0.0,8.0,8.0
1584697,2022-05-10,ZA139GLQ,ST8000NM0055,1.0,3120.0,15.0,84007127488.0,0.0,0.0,0.0
1636651,2018-02-20,ZA139QQE,ST8000NM0055,1.0,0.0,0.0,36422811200.0,2.0,0.0,0.0
1641969,2019-02-07,ZA13AG2K,ST8000NM0055,1.0,40.0,0.0,47405832216.0,0.0,0.0,0.0
1686034,2021-06-03,ZA13E4ZJ,ST8000NM0055,1.0,2272.0,26.0,76464996712.0,0.0,40.0,40.0
1694780,2019-07-08,ZA13ECZ9,ST8000NM0055,1.0,288.0,1.0,51384049904.0,0.0,0.0,0.0
1704969,2018-12-22,ZA13ER14,ST8000NM0055,1.0,0.0,0.0,45411488464.0,0.0,0.0,0.0
1803864,2019-07-10,ZA13EWB5,ST8000NM0055,1.0,0.0,0.0,53841234792.0,0.0,0.0,0.0
1968222,2019-04-09,ZA13EWQP,ST8000NM0055,1.0,0.0,0.0,49946960464.0,0.0,0.0,0.0
1991925,2020-01-30,ZA13EWS1,ST8000NM0055,1.0,128.0,0.0,61138506064.0,0.0,8.0,8.0
2058947,2022-01-06,ZA13EWX7,ST8000NM0055,1.0,30800.0,163.0,83643093752.0,0.0,0.0,0.0
2108464,2022-01-06,ZA13EX15,ST8000NM0055,1.0,0.0,4.0,81770469896.0,0.0,0.0,0.0
2126423,2022-04-20,ZA13EX23,ST8000NM0055,1.0,16112.0,62.0,83804470184.0,0.0,0.0,0.0
2236455,2019-04-09,ZA13F75G,ST8000NM0055,1.0,80.0,4.0,49630933448.0,0.0,8.0,8.0
2308984,2019-02-19,ZA13F7AV,ST8000NM0055,1.0,0.0,0.0,48321336792.0,0.0,0.0,0.0
2401728,2021-10-05,ZA13G6HK,ST8000NM0055,1.0,5.0,0.0,78312155608.0,0.0,0.0,0.0
2450770,2022-03-04,ZA13G9LF,ST8000NM0055,1.0,8.0,0.0,83222967224.0,0.0,0.0,0.0
2464945,2020-12-02,ZA13G9MP,ST8000NM0055,1.0,8.0,0.0,70049937768.0,0.0,0.0,0.0
2476389,2022-06-04,ZA13G9N4,ST8000NM0055,1.0,0.0,0.0,86172991344.0,0.0,0.0,0.0
2723988,2018-05-22,ZA13GZA5,ST8000NM0055,1.0,7568.0,29.0,35439761912.0,0.0,40.0,40.0
2745715,2019-03-01,ZA13GZB3,ST8000NM0055,1.0,1768.0,0.0,48774981016.0,0.0,0.0,0.0
2746446,2020-01-03,ZA13GZB9,ST8000NM0055,1.0,14552.0,9.0,58499315168.0,0.0,0.0,0.0
2755511,2020-05-21,ZA13GZBJ,ST8000NM0055,1.0,5505.0,27.0,63397588656.0,0.0,0.0,0.0
2773945,2019-02-10,ZA13GZCA,ST8000NM0055,1.0,0.0,3.0,47383052064.0,0.0,96.0,96.0
2920138,2021-10-08,ZA13VK6A,ST8000NM0055,1.0,0.0,0.0,33018238544.0,0.0,40.0,40.0
2932211,2018-07-29,ZA13WHJY,ST8000NM0055,1.0,41560.0,72.0,43237227816.0,0.0,0.0,0.0
2962255,2022-05-25,ZA13Y0W9,ST8000NM0055,1.0,43568.0,718.0,84583001432.0,4295032833.0,0.0,0.0
2976671,2021-07-30,ZA13YY2C,ST8000NM0055,1.0,6552.0,2.0,87579352574.0,0.0,0.0,0.0
3014969,2020-09-11,ZA140VHG,ST8000NM0055,1.0,112.0,0.0,70255408728.0,0.0,0.0,0.0
3015430,2021-06-03,ZA140XN1,ST8000NM0055,1.0,992.0,1.0,27186758144.0,0.0,0.0,0.0
3035290,2021-09-14,ZA141X9W,ST8000NM0055,1.0,18640.0,16.0,79014191200.0,0.0,0.0,0.0
3041182,2020-09-24,ZA141Z0M,ST8000NM0055,1.0,0.0,0.0,70726121984.0,0.0,0.0,0.0
3043081,2018-09-24,ZA141Z21,ST8000NM0055,1.0,0.0,0.0,45651403264.0,0.0,0.0,0.0
3053418,2019-06-09,ZA142J6D,ST8000NM0055,1.0,0.0,8.0,53854855616.0,0.0,8.0,8.0
3077122,2020-10-06,ZA1442TC,ST8000NM0055,1.0,11752.0,39.0,55427463744.0,0.0,0.0,0.0
3164690,2022-05-21,ZA145YHB,ST8000NM0055,1.0,,,,,,
3222668,2021-04-30,ZA148GCH,ST8000NM0055,1.0,24648.0,483.0,74937268584.0,0.0,0.0,0.0
3260082,2021-10-01,ZA149FZ4,ST8000NM0055,1.0,0.0,0.0,81990705632.0,0.0,0.0,0.0
3276235,2021-11-06,ZA149KZ2,ST8000NM0055,1.0,3456.0,4.0,95202637774.0,0.0,0.0,0.0
3445436,2020-10-18,ZA14DQRA,ST8000NM0055,1.0,152.0,0.0,70719854808.0,0.0,0.0,0.0
3447898,2020-04-04,ZA14DR42,ST8000NM0055,1.0,392.0,0.0,65618786184.0,0.0,0.0,0.0
3534458,2021-09-12,ZA14E929,ST8000NM0055,1.0,8.0,0.0,79997790832.0,0.0,0.0,0.0
3535530,2020-12-09,ZA14E92G,ST8000NM0055,1.0,9496.0,38.0,71963701176.0,0.0,16.0,16.0
3598833,2022-02-17,ZA14E9TL,ST8000NM0055,1.0,20392.0,61.0,84837915376.0,4295032833.0,16.0,16.0
3643964,2020-06-29,ZA14EBBG,ST8000NM0055,1.0,1088.0,214.0,67624043240.0,0.0,0.0,0.0
3649921,2020-11-08,ZA14EBCY,ST8000NM0055,1.0,136.0,0.0,71249427240.0,0.0,0.0,0.0
3677729,2022-05-18,ZA14EBHZ,ST8000NM0055,1.0,8.0,3.0,86490490760.0,0.0,8.0,8.0
3692715,2018-08-28,ZA14EBL4,ST8000NM0055,1.0,160.0,3.0,44095905912.0,0.0,8.0,8.0
3725029,2021-03-27,ZA14EBV2,ST8000NM0055,1.0,656.0,0.0,74735775744.0,0.0,0.0,0.0
3772266,2021-12-10,ZA14ECN7,ST8000NM0055,1.0,80.0,0.0,83104505864.0,0.0,0.0,0.0
3789165,2019-05-29,ZA14ECR7,ST8000NM0055,1.0,0.0,0.0,54255077280.0,0.0,0.0,0.0
3810414,2022-05-18,ZA14ECSS,ST8000NM0055,1.0,47536.0,87.0,87730734600.0,0.0,0.0,0.0
3850765,2020-10-27,ZA14ED37,ST8000NM0055,1.0,0.0,0.0,71034570680.0,0.0,0.0,0.0
3861155,2019-07-18,ZA14ED84,ST8000NM0055,1.0,9928.0,27.0,56248105416.0,0.0,0.0,0.0
3875724,2021-12-30,ZA14EE4H,ST8000NM0055,1.0,1496.0,3.0,84195807600.0,0.0,0.0,0.0
3890143,2021-08-13,ZA14EER6,ST8000NM0055,1.0,0.0,0.0,78879624080.0,68.0,0.0,0.0
3916823,2019-04-19,ZA14EK1F,ST8000NM0055,1.0,27568.0,75.0,52555323568.0,0.0,16.0,16.0
3947110,2021-10-17,ZA14ELGR,ST8000NM0055,1.0,48.0,0.0,80787925000.0,0.0,0.0,0.0
