,disk_id,failure_time,model_y,app
0,9609.0,2018-07-04 23:51:32,B2,WSM
1,26726.0,2018-04-29 04:06:32,B2,WSM
2,42374.0,2018-12-05 04:29:53,B2,none
3,48687.0,2019-09-10 06:38:05,B2,WSM
4,38003.0,2018-03-16 16:35:41,B2,RM
5,16597.0,2019-01-23 17:57:54,B2,none
6,7393.0,2018-07-15 03:23:13,B2,none
7,25733.0,2019-04-16 03:19:55,B2,none
8,25676.0,2018-06-28 03:20:08,B2,none
9,17397.0,2019-11-10 22:56:04,B2,none
10,988.0,2019-07-12 16:55:54,B2,none
11,15200.0,2018-04-09 03:29:07,B2,none
12,40798.0,2019-09-15 09:11:00,B2,none
13,16276.0,2019-11-01 22:01:59,B2,WPS
14,8299.0,2019-03-11 06:33:22,B2,none
15,18466.0,2018-09-21 11:08:48,B2,WS
16,44882.0,2018-07-09 03:22:53,B2,none
17,8595.0,2019-10-05 09:01:27,B2,RM
18,45580.0,2018-11-15 10:28:51,B2,WS
19,25904.0,2018-05-24 19:31:45,B2,none
20,2825.0,2018-05-24 19:31:47,B2,none
21,26699.0,2019-06-13 14:50:23,B2,RM
22,27389.0,2019-02-16 10:29:59,B2,WS
23,40300.0,2018-10-13 04:01:20,B2,RM
24,15364.0,2018-05-24 19:31:48,B2,RM
25,2196.0,2018-05-30 18:53:50,B2,RM
26,48426.0,2018-06-17 08:08:12,B2,none
27,40981.0,2018-03-19 03:22:42,B2,RM
28,32791.0,2019-03-06 09:02:40,B2,RM
29,30289.0,2018-06-09 03:23:28,B2,RM
30,48501.0,2018-05-24 19:31:50,B2,RM
31,48773.0,2019-03-11 09:03:54,B2,RM
32,21972.0,2018-07-19 03:24:48,B2,none
33,12612.0,2018-05-31 03:23:12,B2,RM
34,21480.0,2018-07-31 00:27:41,B2,RM
35,26936.0,2018-05-07 16:27:56,B2,RM
36,25720.0,2018-05-08 05:57:22,B2,RM
37,14693.0,2018-07-21 08:13:40,B2,RM
38,43877.0,2019-06-23 00:15:38,B2,none
39,25791.0,2019-09-24 10:52:06,B2,RM
40,26283.0,2019-06-29 17:57:11,B2,RM
41,303.0,2018-05-24 19:31:53,B2,RM
42,35002.0,2018-10-23 13:22:12,B2,none
43,27212.0,2019-05-16 11:01:20,B2,none
44,13691.0,2019-01-18 10:19:14,B2,WS
45,5944.0,2018-11-17 01:43:49,B2,RM
46,11878.0,2019-11-30 23:56:19,B2,none
47,22100.0,2018-06-11 00:55:12,B2,none
48,9123.0,2019-02-07 16:19:03,B2,WS
49,22878.0,2018-04-25 10:41:22,B2,WS
50,36048.0,2019-10-18 09:25:11,B2,WS
51,38363.0,2018-05-24 19:31:56,B2,WS
52,25545.0,2019-02-12 18:07:15,B2,WS
53,14203.0,2018-01-30 19:06:43,B2,RM
54,36657.0,2018-03-18 05:15:08,B2,RM
55,48123.0,2019-08-02 16:24:05,B2,WS
