_id,disk_id,failure_time,model_x,model_y,app,node_id,rack_id,machine_room_id
{'$oid': '6266c2e8718b63c8dff976fb'},33722.0,1514920532000,MA2,A2,RM,66688.0,11488.0,455.0
{'$oid': '6266c2e8718b63c8dff976fc'},58337.0,1514933116000,MA2,A2,RM,114833.0,9859.0,455.0
{'$oid': '6266c2e8718b63c8dff976fd'},26378.0,1514949824000,MA1,A3,none,145735.0,6860.0,127.0
{'$oid': '6266c2e8718b63c8dff976fe'},39876.0,1514950167000,MA1,A3,RM,217964.0,17596.0,92.0
{'$oid': '6266c2e8718b63c8dff976ff'},199348.0,1514955783000,MC1,C1,NAS,237451.0,22765.0,137.0
{'$oid': '6266c2e8718b63c8dff97700'},74564.0,1514983472000,MA2,A2,RM,146055.0,2321.0,455.0
{'$oid': '6266c2e8718b63c8dff97701'},7020.0,1515028397000,MC1,C1,none,8129.0,20453.0,530.0
{'$oid': '6266c2e8718b63c8dff97702'},10507.0,1515035954000,MA1,A3,RM,59138.0,11966.0,535.0
{'$oid': '6266c2e8718b63c8dff97703'},17065.0,1515036779000,MC1,C1,WSM,19699.0,22206.0,637.0
{'$oid': '6266c2e8718b63c8dff97704'},14398.0,1515047447000,MC1,C1,none,16385.0,12533.0,598.0
{'$oid': '6266c2e8718b63c8dff97705'},8970.0,1515106236000,MA2,A2,RM,18412.0,16840.0,455.0
{'$oid': '6266c2e8718b63c8dff97706'},28353.0,1515118251000,MB2,B2,none,138118.0,20245.0,70.0
{'$oid': '6266c2e8718b63c8dff97707'},22058.0,1515121219000,MA1,A3,none,120201.0,9594.0,542.0
{'$oid': '6266c2e8718b63c8dff97708'},41792.0,1515121277000,MA1,A3,none,229321.0,15620.0,486.0
{'$oid': '6266c2e8718b63c8dff97709'},120019.0,1515127847000,MA2,A2,RM,236302.0,8395.0,455.0
{'$oid': '6266c2e8718b63c8dff9770a'},165949.0,1515207854000,MC1,C1,none,198513.0,840.0,228.0
{'$oid': '6266c2e8718b63c8dff9770b'},20611.0,1515207854000,MC1,C1,none,24069.0,18843.0,228.0
{'$oid': '6266c2e8718b63c8dff9770c'},88935.0,1515209307000,MC1,C1,RM,106337.0,27623.0,530.0
{'$oid': '6266c2e8718b63c8dff9770d'},28468.0,1515380459000,MA1,A3,none,156736.0,25785.0,598.0
{'$oid': '6266c2e8718b63c8dff9770e'},168477.0,1515438157000,MC1,C1,WSM,201524.0,25582.0,64.0
{'$oid': '6266c2e8718b63c8dff9770f'},31397.0,1515454634000,MC1,C1,WSM,37168.0,6654.0,540.0
{'$oid': '6266c2e8718b63c8dff97710'},98530.0,1515456168000,MC1,C1,WSM,118085.0,17435.0,345.0
{'$oid': '6266c2e8718b63c8dff97711'},3466.0,1515467171000,MA1,A3,RM,20973.0,9984.0,209.0
{'$oid': '6266c2e8718b63c8dff97712'},19073.0,1515467183000,MA1,A3,RM,105114.0,3005.0,408.0
{'$oid': '6266c2e8718b63c8dff97713'},11055.0,1515467710000,MA1,A3,RM,62538.0,16584.0,289.0
{'$oid': '6266c2e8718b63c8dff97714'},28641.0,1515467987000,MA1,A3,RM,157439.0,2803.0,145.0
{'$oid': '6266c2e8718b63c8dff97715'},34146.0,1515503565000,MC1,C1,WSM,40771.0,1719.0,391.0
{'$oid': '6266c2e8718b63c8dff97716'},22382.0,1515553314000,MA1,A3,none,121861.0,22858.0,542.0
{'$oid': '6266c2e8718b63c8dff97717'},26015.0,1515553334000,MA1,A3,none,143575.0,1435.0,100.0
{'$oid': '6266c2e8718b63c8dff97718'},93967.0,1515554428000,MA2,A2,RM,184358.0,6030.0,105.0
{'$oid': '6266c2e8718b63c8dff97719'},28643.0,1515727201000,MA1,A3,RM,157439.0,2803.0,145.0
{'$oid': '6266c2e8718b63c8dff9771a'},20953.0,1515727937000,MC1,C1,WSM,24623.0,17182.0,661.0
{'$oid': '6266c2e8718b63c8dff9771b'},9349.0,1515764046000,MB2,B2,DB,45425.0,22875.0,490.0
{'$oid': '6266c2e8718b63c8dff9771c'},102689.0,1515812582000,MC1,C1,none,123400.0,22299.0,232.0
{'$oid': '6266c2e8718b63c8dff9771d'},81608.0,1515813593000,MC1,C1,DAE,97893.0,27240.0,104.0
{'$oid': '6266c2e8718b63c8dff9771e'},88283.0,1515813835000,MC1,C1,none,105544.0,7653.0,391.0
{'$oid': '6266c2e8718b63c8dff9771f'},22795.0,1515814210000,MA1,A3,RM,124264.0,3443.0,408.0
{'$oid': '6266c2e8718b63c8dff97720'},54275.0,1515843427000,MC1,C1,RM,64587.0,18999.0,171.0
{'$oid': '6266c2e8718b63c8dff97721'},114525.0,1515895584000,MC1,C1,WSM,136451.0,15407.0,638.0
{'$oid': '6266c2e8718b63c8dff97722'},20702.0,1515900270000,MA2,A2,none,40882.0,13456.0,145.0
{'$oid': '6266c2e8718b63c8dff97723'},3408.0,1515985615000,MA1,A3,DB,20591.0,9572.0,336.0
{'$oid': '6266c2e8718b63c8dff97724'},22825.0,1515986367000,MA1,A3,RM,124327.0,27370.0,550.0
{'$oid': '6266c2e8718b63c8dff97725'},17747.0,1515986965000,MA1,A3,RM,97509.0,17596.0,92.0
{'$oid': '6266c2e8718b63c8dff97726'},11808.0,1516050454000,MB1,B3,RM,64510.0,10312.0,394.0
{'$oid': '6266c2e8718b63c8dff97727'},42497.0,1516072726000,MB1,B3,RM,229185.0,25312.0,466.0
{'$oid': '6266c2e8718b63c8dff97728'},15978.0,1516073358000,MA1,A3,none,87571.0,24757.0,220.0
{'$oid': '6266c2e8718b63c8dff97729'},187045.0,1516103109000,MC1,C1,none,222485.0,8433.0,421.0
{'$oid': '6266c2e8718b63c8dff9772a'},110727.0,1516154451000,MC1,C1,DAE,132362.0,2471.0,575.0
{'$oid': '6266c2e8718b63c8dff9772b'},4556.0,1516158016000,MA1,A3,RM,27068.0,17407.0,448.0
{'$oid': '6266c2e8718b63c8dff9772c'},49854.0,1516158259000,MC1,C1,WPS,59536.0,12137.0,566.0
{'$oid': '6266c2e8718b63c8dff9772d'},38530.0,1516159766000,MA1,A3,RM,210908.0,17596.0,92.0
{'$oid': '6266c2e8718b63c8dff9772e'},174292.0,1516164306000,MC1,C1,WSM,208207.0,16976.0,573.0
{'$oid': '6266c2e8718b63c8dff9772f'},19638.0,1516241574000,MB1,B3,RM,108897.0,12040.0,256.0
{'$oid': '6266c2e8718b63c8dff97730'},35731.0,1516244942000,MB1,B3,WPS,192398.0,21428.0,191.0
{'$oid': '6266c2e8718b63c8dff97731'},15394.0,1516245570000,MA1,A3,RM,85220.0,23060.0,503.0
{'$oid': '6266c2e8718b63c8dff97732'},40899.0,1516331109000,MB1,B3,none,220444.0,11444.0,660.0
{'$oid': '6266c2e8718b63c8dff97733'},20675.0,1516331338000,MC1,C1,WPS,24185.0,13335.0,142.0
{'$oid': '6266c2e8718b63c8dff97734'},145876.0,1516332074000,MC1,C1,none,173419.0,6246.0,107.0
{'$oid': '6266c2e8718b63c8dff97735'},115594.0,1516332289000,MA2,A2,RM,227267.0,25400.0,104.0
{'$oid': '6266c2e8718b63c8dff97736'},115597.0,1516332292000,MA2,A2,RM,227267.0,25400.0,104.0
{'$oid': '6266c2e8718b63c8dff97737'},27780.0,1516418408000,MC1,C1,none,32945.0,7653.0,391.0
{'$oid': '6266c2e8718b63c8dff97738'},67476.0,1516418635000,MC1,C1,none,80855.0,118.0,391.0
{'$oid': '6266c2e8718b63c8dff97739'},118852.0,1516428339000,MA2,A2,RM,234074.0,9774.0,455.0
{'$oid': '6266c2e8718b63c8dff9773a'},190143.0,1516504177000,MC1,C1,WPS,226391.0,24832.0,7.0
{'$oid': '6266c2e8718b63c8dff9773b'},20195.0,1516590026000,MA1,A3,none,110172.0,10937.0,65.0
{'$oid': '6266c2e8718b63c8dff9773c'},22822.0,1516591180000,MA1,A3,RM,124327.0,27370.0,550.0
{'$oid': '6266c2e8718b63c8dff9773d'},9578.0,1516645867000,MC1,C1,WSM,11025.0,22790.0,540.0
