app,flash,mttf_flash
DAE,3D-TLC,7367.905239165028
DAE,MLC,10322.861399176954
DB,3D-TLC,11892.373814814815
DB,MLC,7491.862908163264
NAS,3D-TLC,11635.100098753697
NAS,MLC,10842.431037037035
RM,3D-TLC,11976.98543559341
RM,MLC,7657.155484552508
SS,3D-TLC,9284.135984848484
SS,MLC,6657.400379001883
WPS,3D-TLC,13232.20992498828
WPS,MLC,8528.179633838385
WS,3D-TLC,10576.55560763889
WS,MLC,7729.433660493827
WSM,3D-TLC,13197.162080641767
WSM,MLC,8575.069798193803
none,3D-TLC,10596.411407419519
none,MLC,8475.00600498724
