Number_Nodes_ECMWF,Performance_ECMWF_10m,Number_Nodes_Gekko_1MB,Performance_Gekko_1MB_10m,Desirability_Perform_ECMWF,Desirability_Perform_Gekko,Desirability_Nodes_ECMWF,Desirability_Nodes_Gekko,Composite_Desirability
1,1157.0056693277797,1,132.69286908521536,1.0,1.0,0.998046875,0.998046875,0.9990229601966113
2,1157.0056693277795,2,132.69286908521536,0.9999999999999998,1.0,0.99609375,0.99609375,0.998044963916957
4,1157.0056693277797,4,132.69286908521536,1.0,1.0,0.9921875,0.9921875,0.9960860906568267
8,1157.0056693277797,8,132.69286908521536,1.0,1.0,0.984375,0.984375,0.9921567416492215
16,1157.0056693277797,16,132.69286908521536,1.0,1.0,0.96875,0.96875,0.9842509842514764
32,1157.0056693277797,32,132.69286908521536,1.0,1.0,0.9375,0.9375,0.9682458365518543
64,1157.0056693277797,64,132.69286908521536,1.0,1.0,0.875,0.875,0.9354143466934853
128,1157.0056693277797,128,132.69286908521536,1.0,1.0,0.75,0.75,0.8660254037844386
256,1157.0056693277797,256,132.69286908521536,1.0,1.0,0.5,0.5,0.7071067811865476
512,1157.0056693277797,512,132.69286908521536,1.0,1.0,0.0,0.0,0.0
